year,Corporate_profits_with_inventory_valuation_and_capital_consumption_adjustments,Domestic_industries,Financial,Nonfinancial,Rest_of_the_world,Receipts_from_the_rest_of_the_world,Less__Payments_to_the_rest_of_the_world,Corporate_profits_with_inventory_valuation_adjustment,Federal_Reserve_banks,Other,Manufacturing,Durable_goods,Primary_metal_industries,Fabricated_metal_products,Machineryexcept_electrical,Electric_and_electronic_equipment,Motor_vehicles_and_equipment,Nondurable_goods,Food_and_kindred_products,Chemicals_and_allied_products,Petroleum_and_coal_products,Transportation_and_public_utilities,Transportation,Communication,Electric_gas_and_sanitary_services,Wholesale_trade,Retail_trade
1948,31.4,33.1,2.7,30.3,1.3,1.7,0.4,34.4,0.2,3.6,18.1,7.8,1.6,0.9,1.3,0.7,1.5,10.2,1.9,1.8,2.8,3.0,1.5,0.4,1.1,2.4,3.3
1949,29.1,30.8,3.3,27.5,1.1,1.6,0.4,31.9,0.2,3.2,16.5,8.3,1.5,0.7,1.3,0.8,2.1,8.3,1.6,1.8,1.9,3.1,1.2,0.5,1.4,1.9,2.8
1950,36.1,37.5,3.3,34.2,1.3,1.8,0.5,38.8,0.2,3.6,21.4,12.3,2.3,1.1,1.7,1.3,3.2,9.1,1.6,2.4,2.3,4.1,1.9,0.8,1.5,2.1,3.0
1951,41.2,42.4,3.7,38.7,1.7,2.2,0.5,44.2,0.3,3.5,25.2,13.5,3.1,1.4,2.4,1.4,2.5,11.6,1.5,2.9,2.8,4.8,1.9,1.1,1.8,2.6,2.6
1952,39.7,40.4,4.4,36.0,1.9,2.3,0.5,42.3,0.3,3.2,22.6,12.3,2.0,1.0,2.4,1.6,2.6,10.3,1.8,2.4,2.4,5.1,1.9,1.2,2.0,2.3,2.7
1953,40.3,40.4,4.8,35.5,1.8,2.3,0.5,42.2,0.4,3.0,23.2,12.7,2.5,1.0,2.0,1.6,2.9,10.5,1.8,2.4,2.8,5.2,1.6,1.5,2.2,1.8,2.3
1954,39.5,38.5,5.1,33.4,2.0,2.4,0.5,40.5,0.3,3.3,21.1,11.2,1.7,1.0,1.8,1.3,2.3,9.9,1.7,2.4,2.8,5.0,1.0,1.6,2.4,1.7,2.3
1955,50.2,47.4,5.3,42.0,2.4,2.9,0.5,49.7,0.3,3.6,27.2,15.0,2.9,1.1,1.8,1.3,4.3,12.2,2.2,3.2,3.1,6.0,1.5,2.0,2.5,2.4,2.9
1956,49.6,47.1,5.7,41.4,2.8,3.4,0.5,49.9,0.5,3.9,26.5,14.0,3.1,1.1,2.2,1.6,2.5,12.5,1.8,3.2,3.3,6.3,1.4,2.2,2.7,2.2,2.6
1957,49.1,46.6,6.0,40.6,3.1,3.6,0.5,49.7,0.6,3.8,25.8,14.4,3.1,1.2,2.1,2.0,2.8,11.4,1.9,3.1,2.7,6.2,1.1,2.4,2.7,2.2,2.6
1958,43.9,42.3,6.5,35.8,2.5,3.1,0.6,44.8,0.6,3.5,21.2,10.4,1.9,1.0,1.5,1.8,1.1,10.8,2.1,2.9,2.3,6.2,0.9,2.6,2.7,2.2,2.6
1959,55.5,53.0,7.6,45.4,2.7,3.4,0.7,55.7,0.7,3.5,28.4,14.8,2.4,1.1,2.2,2.2,3.2,13.5,2.5,3.9,2.7,7.4,1.1,3.1,3.1,2.8,3.3
1960,54.7,50.5,8.4,42.1,3.1,3.8,0.7,53.7,0.9,3.3,25.8,12.9,2.1,0.9,1.9,1.9,3.2,12.9,2.3,3.5,2.7,7.8,0.9,3.3,3.6,2.5,2.8
1961,55.9,50.9,8.3,42.5,3.3,4.0,0.7,54.2,0.8,3.6,25.2,12.5,1.6,1.1,1.9,1.9,2.7,12.7,2.4,3.7,2.4,8.2,1.0,3.5,3.8,2.5,3.0
1962,64.0,55.5,8.6,46.9,3.8,4.5,0.7,59.2,0.9,3.7,28.2,15.2,1.6,1.2,2.4,2.1,4.2,13.0,2.4,3.6,2.3,8.7,1.0,3.8,3.9,2.8,3.4
