year,Corporate_profits_with_inventory_valuation_and_capital_consumption_adjustments,Domestic_industries,Financial_1,Nonfinancial,Rest_of_the_world,Receipts_from_the_rest_of_the_world,Less_Payments_to_the_rest_of_the_world,Corporate_profits_with_inventory_valuation_adjustment,Financial,Federal_Reserve_banks,Other_financial_2,Utilities,Manufacturing,Durable_goods,Fabricated_metal_products,Machinery,Computer_and_electronic_products,Electrical_equipment_appliances_and_components,Motor_vehicles_bodies_and_trailers_and_parts,Other_durable_goods_3,Nondurable_goods,Food_and_beverage_and_tobacco_products,Petroleum_and_coal_products,Chemical_products,Other_nondurable_goods_4,Wholesale_trade,Retail_trade,Transportation_and_warehousing,Information,Other_nonfinancial_5
1998,804.1,641.1,143.5,502.1,102.8,146.8,44.0,743.8,138.9,25.6,113.3,33.3,193.5,114.0,16.8,16.1,19.8,8.8,16.9,35.6,79.4,21.9,4.3,33.4,19.8,57.3,62.5,12.8,33.1,109.7
1999,830.2,640.2,161.8,485.6,122.0,177.3,55.3,762.2,154.6,26.7,127.9,34.4,184.5,97.0,16.4,12.7,6.6,10.2,13.8,37.4,87.5,31.7,2.4,31.8,21.7,55.6,59.5,7.2,20.8,123.5
2000,781.2,584.1,154.9,434.4,146.2,203.0,56.9,730.3,149.7,31.2,118.5,24.3,175.6,82.3,15.6,9.4,20.5,6.9,4.0,25.8,93.3,25.8,25.9,25.1,16.6,59.5,51.3,9.5,-11.9,126.1
2001,754.0,528.3,201.7,333.3,170.4,183.3,12.9,698.7,195.0,28.9,166.1,22.5,75.1,-9.4,9.2,2.2,-29.1,1.1,-6.8,14.0,84.5,28.5,27.5,22.0,6.6,51.1,71.3,-0.7,-26.4,140.2
2002,907.2,636.3,280.0,365.6,158.8,205.3,46.5,795.1,270.7,23.5,247.2,11.1,75.1,3.1,8.7,3.2,-24.3,-2.1,-3.0,20.6,72.0,26.9,3.8,29.9,11.4,55.8,83.7,-6.0,-3.1,149.0
2003,1056.4,793.3,306.3,486.7,166.6,250.0,83.4,959.9,306.5,20.1,286.5,13.5,125.3,32.7,8.6,3.2,-6.3,1.5,7.9,17.8,92.6,25.9,26.0,32.2,8.5,59.3,90.5,4.8,16.3,177.1
2004,1283.3,1010.1,336.1,660.7,205.0,328.2,123.1,1215.2,349.4,20.0,329.4,20.5,182.7,50.6,12.3,8.5,1.2,-0.2,-5.0,33.8,132.1,26.8,50.1,39.2,16.0,74.7,93.2,12.0,52.7,224.9
2005,1477.7,1382.1,367.7,972.4,239.1,383.7,144.6,1621.2,409.7,26.6,383.1,30.8,277.7,107.1,18.2,18.0,15.7,-1.8,0.3,56.8,170.5,29.5,79.9,41.2,19.9,96.2,121.7,27.7,91.3,327.2
2006,1646.5,1559.6,375.3,1144.4,256.2,433.8,177.6,1815.7,415.1,33.8,381.3,55.1,349.7,144.0,18.4,23.2,29.0,10.7,-5.3,68.0,205.7,35.0,73.5,70.0,27.1,105.9,132.5,41.2,107.0,353.1
2007,1529.0,1355.5,261.0,1054.0,353.4,510.4,157.0,1708.9,301.5,36.0,265.5,49.5,321.9,118.9,21.0,25.0,24.7,-1.5,-15.7,65.2,203.0,31.7,78.7,69.3,23.3,103.2,119.0,23.9,108.4,328.2
2008,1285.1,938.8,64.1,843.4,406.7,582.0,175.3,1345.5,95.4,35.1,60.4,30.1,240.6,64.3,16.5,18.8,26.1,4.4,-39.6,38.1,176.3,31.0,89.9,50.1,5.4,90.6,80.3,28.8,92.2,280.8
2009,1397.0,1122.0,321.7,759.2,357.2,498.1,140.9,1479.2,362.9,47.3,315.5,23.8,171.4,34.4,11.7,9.4,26.4,8.9,-54.3,32.3,137.0,46.4,13.7,58.6,18.2,89.3,108.7,22.4,81.2,262.3
2010,1746.4,1404.5,368.2,998.2,395.2,584.6,189.4,1799.7,406.3,71.6,334.8,30.3,287.6,128.1,15.3,17.4,46.9,10.2,-9.7,48.0,159.5,46.1,24.8,64.7,23.9,102.4,118.6,44.7,95.1,319.5
2011,1816.6,1316.6,355.7,940.7,421.9,644.3,222.4,1738.5,375.9,75.9,300.0,9.8,298.1,132.5,16.1,24.3,32.7,4.8,-0.3,54.8,165.6,40.6,45.8,58.2,20.9,94.4,114.3,30.4,83.8,309.9
2012,1998.2,1706.3,438.2,1227.2,410.3,650.3,239.9,2116.6,479.0,71.7,407.3,12.5,395.7,201.2,23.4,32.1,47.4,11.6,21.9,64.9,194.5,44.3,50.2,69.6,30.4,135.3,154.1,53.8,100.6,375.2
2013,2037.4,1750.1,385.8,1326.4,414.8,668.7,253.9,2164.9,423.6,79.6,344.1,26.4,426.4,213.8,23.1,33.8,51.1,14.0,22.0,69.9,212.6,54.6,48.4,74.8,34.7,145.5,159.4,53.0,129.4,386.3
2014,2072.9,1786.6,383.6,1363.2,418.2,690.3,272.1,2204.9,423.4,103.4,320.0,27.7,439.8,223.3,23.8,31.9,52.6,16.2,24.8,73.9,216.5,55.2,53.4,75.1,32.8,147.7,158.4,65.3,126.5,397.7
