"Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 31, 2015"
"Line"," ","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","      Private nonresidential fixed assets",126.5,131.0,133.7,137.3,136.6,129.8,115.9,107.4,109.0,110.3,110.0,121.0,126.2,124.9,125.2,133.3,150.6,160.2,163.0,164.9,179.8,220.5,265.2,291.0,296.2,335.4,365.7,385.8,403.2,414.5,456.6,505.0,540.1,550.9,573.5,586.4,603.9,626.3,650.2,688.9,738.4,803.8,870.7,957.4,1055.3,1161.1,1274.6,1385.1,1560.1,1893.4,2083.1,2279.9,2532.4,2869.9,3313.6,3799.9,4299.9,4588.8,4744.4,5040.7,5332.1,5603.4,5918.7,6310.7,6699.1,7070.0,7240.3,7485.7,7836.6,8269.5,8717.6,9143.6,9664.1,10213.0,10833.0,11588.0,12163.2,12603.0,13052.3,14158.6,15461.0,16729.9,17667.0,18748.7,18151.4,18561.6,19287.1,19920.5,20715.8,21463.5
"2","        Equipment",31.1,32.8,33.5,34.2,34.3,32.7,29.7,26.7,26.4,26.5,25.9,27.8,29.9,29.9,30.5,32.8,37.6,38.5,38.9,38.8,44.2,53.3,65.5,80.3,84.6,98.8,109.1,114.9,124.4,128.2,141.2,158.6,172.9,178.0,186.6,192.7,196.1,203.7,212.3,224.9,242.5,270.0,296.2,326.5,360.1,394.7,422.5,455.1,507.1,625.5,716.2,792.5,891.6,1018.0,1181.9,1369.9,1528.4,1619.9,1670.5,1758.8,1858.0,1964.7,2055.3,2178.0,2300.6,2423.7,2482.2,2544.4,2642.4,2785.0,2959.2,3104.0,3235.2,3384.7,3578.7,3805.5,3912.3,3968.7,4040.8,4257.2,4481.8,4784.0,5020.9,5267.6,5182.7,5268.0,5478.3,5670.6,5871.2,6124.7
"3","        Structures",93.5,96.2,98.1,100.9,99.9,94.7,83.7,78.3,80.2,81.3,81.3,90.1,92.8,91.3,90.7,96.1,107.8,115.6,117.2,118.6,127.6,158.1,189.1,199.4,199.9,223.7,243.0,256.3,262.6,268.6,295.8,324.4,342.8,346.4,357.9,362.6,374.1,386.8,399.0,422.1,450.1,483.3,518.2,568.1,624.7,688.8,769.6,841.3,954.6,1156.0,1245.4,1354.4,1494.9,1688.7,1944.9,2216.2,2526.5,2694.8,2769.8,2943.4,3101.5,3232.2,3414.7,3641.4,3858.4,4055.0,4116.3,4253.0,4462.6,4701.0,4917.2,5139.3,5449.2,5762.9,6067.1,6471.4,6884.4,7220.0,7522.7,8343.9,9320.4,10187.1,10770.8,11511.8,10943.7,11188.6,11606.4,11952.4,12424.0,12815.9
"4","        Intellectual property products",1.9,2.0,2.1,2.3,2.5,2.5,2.5,2.4,2.4,2.6,2.8,3.1,3.4,3.7,4.0,4.3,5.1,6.0,6.8,7.5,8.1,9.1,10.6,11.3,11.7,12.8,13.6,14.6,16.2,17.7,19.6,22.1,24.4,26.4,29.0,31.2,33.7,35.9,38.9,41.9,45.8,50.5,56.3,62.8,70.5,77.5,82.5,88.7,98.4,111.9,121.5,132.9,145.8,163.2,186.8,213.8,244.9,274.1,304.1,338.5,372.6,406.4,448.7,491.3,540.1,591.4,641.7,688.3,731.5,783.6,841.2,900.2,979.7,1065.4,1187.2,1311.1,1366.5,1414.3,1488.7,1557.5,1658.8,1758.8,1875.3,1969.3,2025.0,2105.0,2202.3,2297.4,2420.6,2522.8
" ","By selected industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","  Farms",10.1,10.2,10.3,10.4,10.2,9.3,8.1,7.1,7.5,7.5,7.5,7.8,8.1,7.9,7.4,7.7,9.2,10.5,11.5,12.0,13.2,16.1,19.9,22.6,23.6,27.4,29.9,31.3,31.7,31.7,33.9,35.3,36.4,36.1,36.9,37.3,38.0,39.2,40.8,43.0,45.7,49.1,52.3,56.1,60.2,65.1,70.7,75.5,84.7,103.0,113.8,125.6,140.7,159.1,185.9,208.0,227.5,235.1,235.8,237.5,235.1,235.5,234.9,238.5,243.5,248.4,248.2,247.6,252.7,261.7,269.0,276.0,286.4,297.1,302.9,311.1,319.9,328.2,340.2,366.9,394.5,416.4,430.4,446.8,435.7,440.2,456.4,484.8,522.6,553.9
"6","    Equipment",2.7,2.9,3.1,3.2,3.3,3.3,3.0,2.9,2.6,2.4,2.4,2.6,2.9,3.0,3.0,3.2,3.7,3.8,3.8,3.9,4.3,4.8,6.2,8.3,9.5,11.3,12.5,13.3,13.9,13.8,14.6,14.8,15.5,16.0,16.5,16.7,16.7,17.1,17.8,18.6,20.1,21.9,23.7,25.1,26.8,28.8,30.6,32.4,37.2,47.2,54.1,60.6,67.8,76.2,89.6,99.4,109.8,111.9,109.3,106.6,102.2,99.7,96.1,96.6,98.6,101.7,102.7,101.3,102.5,105.7,110.6,114.3,120.2,125.8,126.1,126.8,128.9,133.0,138.8,149.3,157.4,163.9,171.2,184.8,191.2,198.4,212.6,233.7,254.5,268.9
"7","    Structures",7.4,7.3,7.2,7.2,6.9,6.0,5.0,4.2,4.9,5.2,5.1,5.2,5.2,5.0,4.4,4.5,5.5,6.7,7.7,8.1,8.9,11.3,13.7,14.3,14.1,16.1,17.4,18.0,17.8,17.9,19.3,20.5,21.0,20.1,20.4,20.6,21.2,22.1,23.0,24.4,25.6,27.1,28.6,31.0,33.4,36.2,40.1,43.1,47.5,55.8,59.8,65.0,72.9,82.9,96.3,108.6,117.8,123.2,126.5,130.9,132.9,135.8,138.8,141.9,144.8,146.6,145.3,146.1,149.9,155.6,158.0,161.4,165.8,170.9,176.5,184.0,190.8,195.1,201.3,217.4,237.0,252.4,259.1,261.9,244.4,241.8,243.6,251.0,268.0,284.9
"8","    Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"9","  Manufacturing",17.4,17.8,18.1,18.9,18.7,17.3,15.3,14.0,15.6,16.3,16.5,18.5,19.9,19.4,20.1,22.2,26.3,28.7,28.7,29.1,33.3,40.8,49.8,55.4,54.8,62.7,69.1,73.2,77.4,80.2,88.8,101.3,110.3,111.6,115.4,118.8,122.1,127.3,132.5,141.3,153.2,171.8,188.7,209.7,231.8,255.2,277.4,298.6,331.5,401.5,448.2,490.9,547.2,617.8,712.5,820.7,911.2,971.2,1002.5,1052.7,1116.0,1174.7,1233.0,1292.2,1360.5,1436.9,1482.4,1535.0,1586.0,1670.5,1766.7,1861.7,1960.7,2068.4,2165.4,2267.9,2333.8,2363.9,2401.9,2507.8,2643.2,2771.1,2941.1,3124.8,3079.8,3130.0,3249.9,3338.2,3480.6,3610.5
