"Table 1.14. Gross Value Added of Domestic Corporate Business in Current Dollars and Gross Value Added of Nonfinancial Domestic Corporate Business in Current and Chained Dollars"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2015 - Next Release Date January 29, 2016"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","        Gross value added of corporate business 1",54.8,48.2,37.8,27.9,26.9,33.5,37.1,42.7,48.3,43.0,47.3,54.1,70.0,87.5,103.5,107.3,100.8,105.8,127.5,146.1,143.1,162.2,185.8,195.1,209.3,206.9,233.1,250.2,261.8,256.9,287.5,300.0,308.8,336.0,357.5,386.1,423.9,465.2,491.3,542.2,590.8,612.3,661.1,733.2,820.5,889.9,966.0,1087.8,1233.0,1407.5,1565.0,1702.7,1935.2,2018.8,2172.9,2435.3,2605.8,2712.5,2902.9,3151.3,3329.0,3477.3,3564.1,3750.6,3926.9,4219.3,4483.9,4780.2,5153.6,5485.8,5815.5,6227.3,6226.0,6318.8,6544.3,6967.7,7484.0,8026.3,8189.1,8092.4,7823.9,8235.5,8611.8,9148.8,9454.0,9890.4
"2","Consumption of fixed capital",5.2,5.1,4.8,4.2,4.0,4.1,4.2,4.2,4.7,4.8,4.8,5.0,5.6,6.4,6.6,6.7,7.0,8.0,9.8,11.5,12.4,13.3,15.1,16.1,17.3,18.3,19.6,22.1,24.6,26.4,27.6,28.5,29.5,30.8,32.4,34.4,37.1,40.9,45.1,50.0,55.7,61.8,67.6,73.4,82.0,96.0,113.5,125.0,140.5,159.3,183.4,212.1,244.9,272.5,285.9,303.2,326.9,349.9,371.3,399.4,427.2,455.3,480.9,496.2,519.8,550.4,593.6,629.8,674.0,719.3,774.6,844.5,894.9,920.5,941.5,982.7,1051.6,1128.6,1197.5,1259.2,1260.6,1262.5,1298.8,1351.0,1405.0,1467.3
"3","Net value added",49.6,43.1,33.1,23.6,22.9,29.4,33.0,38.5,43.6,38.2,42.5,49.1,64.4,81.1,96.9,100.5,93.9,97.8,117.7,134.6,130.7,148.9,170.7,179.0,192.0,188.6,213.6,228.1,237.2,230.5,259.9,271.5,279.3,305.2,325.0,351.7,386.7,424.3,446.2,492.2,535.1,550.5,593.5,659.7,738.5,793.9,852.4,962.7,1092.5,1248.3,1381.7,1490.7,1690.3,1746.2,1887.1,2132.1,2279.0,2362.6,2531.6,2751.9,2901.8,3022.0,3083.2,3254.3,3407.1,3668.9,3890.3,4150.4,4479.6,4766.5,5040.9,5382.8,5331.1,5398.3,5602.8,5985.0,6432.4,6897.7,6991.6,6833.2,6563.3,6973.0,7313.0,7797.8,8048.9,8423.1
"4","    Compensation of employees",34.2,30.8,25.4,19.0,18.0,21.0,23.1,26.3,30.5,27.3,29.8,32.9,41.6,52.8,64.1,67.1,64.1,69.9,82.1,91.1,88.8,98.7,114.6,123.0,134.0,132.2,144.6,158.2,166.5,164.0,180.3,190.7,195.6,211.0,222.7,239.2,259.9,288.5,308.4,340.2,377.5,398.0,421.7,468.2,526.1,577.3,607.8,682.8,771.7,884.7,1004.4,1102.0,1220.6,1275.1,1353.0,1501.1,1615.9,1723.4,1847.6,2002.3,2119.3,2234.9,2277.8,2420.5,2515.7,2649.0,2787.9,2953.7,3176.6,3447.5,3684.3,4008.9,4015.6,3973.9,4042.0,4241.5,4444.5,4683.2,4893.0,4939.7,4610.0,4706.9,4937.9,5191.8,5355.2,5640.8
"5","        Wages and salaries",33.8,30.4,25.0,18.7,17.7,20.7,22.7,25.6,29.3,25.8,28.3,31.2,39.6,50.5,61.3,63.9,60.9,66.5,78.0,86.9,84.4,93.0,107.5,115.5,125.8,123.6,134.8,147.0,154.0,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338.0,356.0,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.2,855.6,935.6,1033.4,1073.1,1132.6,1256.8,1351.4,1432.3,1536.6,1666.1,1756.5,1849.3,1875.3,1977.8,2049.1,2160.3,2296.1,2448.2,2650.8,2883.2,3092.4,3363.8,3354.2,3296.7,3337.0,3503.6,3665.6,3886.1,4068.8,4106.4,3816.7,3903.3,4105.2,4332.1,4467.0,4725.0
"6","        Supplements to wages and salaries",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.3,1.4,1.5,1.6,2.0,2.3,2.8,3.2,3.2,3.4,4.1,4.2,4.4,5.7,7.0,7.5,8.2,8.6,9.8,11.2,12.5,12.6,14.6,16.2,16.9,19.2,20.8,22.4,24.7,29.3,31.4,34.8,39.4,42.0,45.5,53.4,61.5,68.4,79.4,91.6,109.0,128.5,148.8,166.4,187.1,202.0,220.3,244.3,264.5,291.1,311.1,336.3,362.8,385.7,402.5,442.7,466.7,488.7,491.8,505.5,525.7,564.3,591.9,645.1,661.4,677.2,705.0,737.9,779.0,797.1,824.2,833.3,793.2,803.6,832.6,859.7,888.2,915.8
"7","    Taxes on production and imports less subsidies",3.0,3.0,2.8,2.9,3.5,4.1,4.2,4.4,4.6,4.6,4.8,5.1,6.1,6.4,6.8,7.5,8.3,9.8,11.5,12.7,13.4,14.8,15.9,17.3,18.5,17.9,19.8,21.5,22.8,23.1,25.6,27.8,28.9,31.2,33.2,35.6,37.8,38.9,41.4,47.8,52.9,57.0,62.8,67.3,74.1,78.6,84.5,91.4,100.0,108.7,115.0,128.6,154.4,161.3,177.4,195.6,209.0,219.6,233.4,252.0,267.5,284.5,307.9,325.9,343.8,376.1,384.8,398.4,416.9,430.8,454.0,479.8,476.3,506.3,532.6,571.5,616.5,655.8,681.2,685.0,659.3,685.9,721.9,742.0,778.7,808.6
"8","    Net operating surplus",12.3,9.3,4.9,1.7,1.4,4.3,5.8,7.8,8.4,6.3,7.9,11.1,16.7,21.8,26.0,25.9,21.5,18.2,24.1,30.8,28.5,35.4,40.3,38.6,39.5,38.5,49.1,48.4,47.9,43.4,54.1,52.9,54.8,63.0,69.2,76.9,89.1,96.9,96.4,104.2,104.7,95.5,109.0,124.3,138.4,138.0,160.1,188.5,220.8,254.9,262.2,260.1,315.3,309.8,356.6,435.4,454.0,419.6,450.6,497.6,514.9,502.6,497.5,507.9,547.6,643.8,717.6,798.3,886.1,888.3,902.6,894.1,839.2,918.1,1028.1,1172.0,1371.4,1558.7,1417.4,1208.5,1294.1,1580.2,1653.2,1863.9,1915.0,1973.7
"9","        Net interest and miscellaneous payments",1.4,1.5,1.5,1.4,1.2,1.4,1.5,1.4,1.3,1.3,1.3,1.1,1.0,1.0,0.9,0.7,0.6,0.1,0.3,0.1,0.0,-0.1,-0.2,-0.2,0.0,0.2,0.2,0.1,0.3,0.7,-0.1,-0.1,0.5,0.9,0.5,0.9,1.3,2.4,4.2,4.4,8.6,12.6,12.8,12.7,15.1,23.4,27.7,23.2,28.1,31.3,37.0,59.9,83.3,95.9,92.4,107.2,106.7,105.4,107.7,113.3,134.2,127.6,89.0,71.8,70.8,67.6,70.7,70.4,93.5,134.1,140.5,186.6,170.4,107.7,87.3,39.2,72.9,120.1,172.9,234.5,157.5,129.1,149.1,209.3,216.3,226.3
"10","        Business current transfer payments (net)",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.7,1.0,1.0,1.0,0.7,1.1,1.4,1.6,1.4,1.4,1.5,1.7,1.9,2.3,2.7,3.1,2.9,3.1,3.7,4.3,3.7,3.4,3.9,4.8,6.3,8.2,7.6,6.0,7.9,10.8,12.0,14.3,16.6,19.5,26.9,30.9,29.3,24.9,26.4,33.6,34.0,33.7,34.0,31.8,32.2,36.9,43.7,34.4,52.8,53.9,72.4,85.1,61.9,51.0,54.5,59.8,48.2,68.9,95.7,96.7,99.8,109.3,66.8,76.2,92.7
"11","        Corporate profits with IVA and CCAdj",10.6,7.4,3.0,-0.2,-0.2,2.5,3.9,6.1,6.8,4.7,6.3,9.6,15.3,20.4,24.5,24.5,20.1,17.6,23.2,30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46.0,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318.0,357.9,347.1,341.1,374.9,402.2,445.1,543.9,610.1,684.1,758.2,701.3,708.2,635.0,583.6,748.4,889.7,1078.3,1238.7,1390.3,1175.6,878.4,1039.8,1351.2,1394.7,1587.8,1622.6,1654.7
"12","            Taxes on corporate income",1.4,0.8,0.5,0.4,0.5,0.7,1.0,1.4,1.5,1.0,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22.0,22.0,21.4,19.0,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40.0,34.8,38.2,42.3,50.0,52.8,51.6,65.3,74.4,84.9,90.0,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171.0,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,379.1,447.6,468.9,513.9
"13","            Profits after tax with IVA and CCAdj",9.2,6.5,2.5,-0.5,-0.7,1.7,2.9,4.7,5.3,3.7,4.8,6.8,7.7,9.0,10.5,11.6,9.4,8.4,11.9,17.7,17.7,16.9,16.9,18.4,18.2,19.9,25.8,24.8,24.6,22.4,29.1,28.8,29.7,36.2,40.1,45.1,53.5,57.7,56.2,56.5,51.8,44.4,54.6,65.3,68.5,55.5,72.6,92.5,112.2,130.8,124.4,100.9,133.5,130.8,164.1,203.8,217.0,175.2,187.5,216.3,201.0,195.6,236.3,253.5,274.0,350.8,392.2,452.6,512.8,453.0,449.4,369.9,380.3,556.1,646.0,772.2,826.3,917.0,730.1,569.3,770.3,980.7,1015.6,1140.2,1153.7,1140.9
"14","                Net dividends",5.6,5.3,4.1,2.6,2.0,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4.0,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15.0,16.9,17.8,18.3,20.2,20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98.0,126.4,144.1,156.2,161.5,184.7,197.8,226.2,263.1,292.2,314.8,306.4,355.4,329.9,352.3,401.9,501.8,319.7,648.1,678.5,628.1,456.5,442.5,548.8,680.1,777.7,724.4
"15","                Undistributed profits with IVA and CCAdj",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.7,0.8,1.2,3.0,3.5,5.0,6.2,7.3,5.0,3.3,6.3,11.5,11.3,9.0,9.5,10.9,10.5,12.0,16.9,15.4,14.8,12.5,18.4,17.4,18.2,23.8,26.5,30.1,36.6,39.9,37.9,36.3,31.4,24.0,34.3,43.4,45.4,32.0,46.2,62.4,78.5,91.2,82.9,53.6,75.2,69.4,92.7,125.3,131.3,86.9,91.9,118.2,74.7,51.6,80.1,92.0,89.3,153.0,166.1,189.5,220.6,138.2,143.1,14.5,50.4,203.8,244.1,270.4,506.6,268.9,51.6,-58.8,313.8,538.1,466.9,460.1,376.0,416.5
"16","        Gross value added of financial corporate business 1",4.0,2.9,2.4,2.1,1.9,2.0,2.2,2.5,2.6,2.8,2.9,3.0,3.3,3.4,3.8,4.0,4.2,5.1,5.3,6.1,6.8,7.3,8.2,9.2,10.2,10.8,11.8,12.9,13.8,14.7,15.9,17.5,18.4,19.3,19.6,21.6,23.2,25.1,28.1,31.3,36.2,39.4,43.1,47.2,51.7,59.9,67.6,73.0,85.5,103.4,114.6,128.5,146.8,164.5,187.4,209.7,236.3,247.1,260.4,276.8,308.2,316.0,332.3,373.4,391.6,402.8,442.5,484.0,545.2,612.1,645.6,714.3,754.8,779.9,819.8,859.8,951.9,1038.3,985.2,835.7,964.1,996.7,1019.5,1136.9,1137.1,1249.5
"17","        Gross value added of nonfinancial corporate business 1",50.8,45.3,35.4,25.7,25.0,31.5,34.9,40.2,45.8,40.2,44.4,51.1,66.7,84.0,99.7,103.2,96.6,100.8,122.2,140.0,136.3,154.9,177.6,185.9,199.0,196.2,221.4,237.2,247.9,242.2,271.6,282.5,290.4,316.8,337.8,364.5,400.7,440.1,463.2,510.9,554.6,572.8,618.0,685.9,768.8,830.1,898.3,1014.8,1147.5,1304.1,1450.4,1574.2,1788.4,1854.3,1985.5,2225.5,2369.5,2465.3,2642.5,2874.5,3020.8,3161.2,3231.8,3377.1,3535.3,3816.5,4041.4,4296.1,4608.4,4873.7,5169.9,5513.0,5471.2,5538.9,5724.4,6107.9,6532.1,6988.0,7203.9,7256.8,6859.8,7238.7,7592.3,8011.9,8316.8,8641.0
"18","Consumption of fixed capital",5.0,4.9,4.6,4.1,3.9,3.9,4.0,4.1,4.6,4.6,4.6,4.8,5.4,6.1,6.3,6.5,6.7,7.8,9.5,11.1,12.0,12.8,14.6,15.6,16.7,17.7,18.9,21.4,23.8,25.5,26.7,27.6,28.6,29.8,31.3,33.3,35.8,39.4,43.5,48.1,53.5,59.3,64.7,70.2,78.2,91.4,107.7,118.3,132.6,150.2,172.4,198.9,229.1,253.9,264.6,279.0,299.0,317.9,334.7,357.7,380.1,403.0,424.5,437.8,457.9,484.8,523.7,557.4,598.4,638.2,683.4,741.9,785.3,804.7,818.0,850.2,909.9,979.4,1040.3,1093.9,1092.0,1094.6,1139.2,1186.2,1232.2,1285.7
"19","Net value added",45.8,40.4,30.9,21.6,21.1,27.5,30.9,36.1,41.2,35.6,39.8,46.2,61.3,77.9,93.4,96.7,89.8,93.0,112.7,128.9,124.3,142.0,163.0,170.3,182.3,178.4,202.5,215.9,224.2,216.8,245.0,254.9,261.9,287.0,306.5,331.3,364.9,400.7,419.7,462.8,501.1,513.6,553.3,615.8,690.7,738.7,790.6,896.5,1015.0,1154.0,1278.0,1375.4,1559.3,1600.4,1720.9,1946.6,2070.6,2147.5,2307.8,2516.8,2640.7,2758.3,2807.3,2939.4,3077.3,3331.8,3517.7,3738.8,4010.0,4235.5,4486.5,4771.1,4685.9,4734.2,4906.5,5257.7,5622.2,6008.7,6163.6,6162.8,5767.8,6144.2,6453.1,6825.7,7084.6,7355.2
