year,Private_nonresidential_fixed_assets,Equipment,Structures,Intellectual_property_products,Farms,Manufacturing,Nonfarm_nonmanufacturing,Corporate,Financial,Nonfinancial,Noncorporate,Sole_proprietorships,Partnerships,Nonprofit_institutions,Households,Tax_exempt_cooperatives
1925,5.9,0.0,0.0,0.0,0.5,0.1,1.2,4.2,0.2,4.0,1.8,1.1,0.6,0.1,0.0,0.0
1926,6.3,0.0,0.0,0.0,0.6,0.1,1.3,4.4,0.2,4.2,1.9,1.2,0.6,0.1,0.0,0.0
1927,6.5,0.0,0.0,0.0,0.6,0.1,1.4,4.4,0.2,4.2,2.0,1.3,0.6,0.1,0.0,0.0
1928,6.6,0.0,0.0,0.0,0.6,0.1,1.4,4.5,0.2,4.3,2.1,1.3,0.7,0.1,0.0,0.0
1929,6.9,0.0,0.0,0.0,0.6,0.1,1.5,4.7,0.2,4.4,2.2,1.4,0.7,0.1,0.0,0.0
1930,7.0,0.0,0.0,0.0,0.7,0.1,1.5,4.7,0.2,4.5,2.3,1.4,0.7,0.2,0.0,0.0
1931,6.9,0.0,0.0,0.0,0.6,0.1,1.5,4.7,0.2,4.5,2.2,1.4,0.7,0.2,0.0,0.0
1932,6.6,0.0,0.0,0.0,0.6,0.1,1.4,4.5,0.2,4.3,2.1,1.3,0.6,0.2,0.0,0.0
1933,6.2,0.0,0.0,0.0,0.6,0.1,1.3,4.3,0.2,4.1,1.9,1.2,0.6,0.2,0.0,0.0
1934,6.0,0.0,0.0,0.0,0.5,0.1,1.2,4.2,0.2,4.0,1.8,1.1,0.6,0.2,0.0,0.0
1935,5.9,0.0,0.0,0.0,0.5,0.1,1.2,4.1,0.2,3.9,1.8,1.0,0.6,0.2,0.0,0.0
1936,5.9,0.0,0.0,0.0,0.5,0.1,1.2,4.1,0.2,4.0,1.8,1.0,0.6,0.2,0.0,0.0
1937,6.1,0.0,0.0,0.0,0.6,0.1,1.2,4.3,0.2,4.1,1.9,1.1,0.6,0.2,0.0,0.0
1938,6.2,0.0,0.0,0.0,0.6,0.1,1.2,4.3,0.2,4.2,1.9,1.1,0.6,0.2,0.0,0.0
1939,6.3,0.0,0.0,0.0,0.6,0.1,1.3,4.4,0.2,4.2,1.9,1.1,0.6,0.2,0.0,0.0
1940,6.5,0.0,0.0,0.0,0.6,0.1,1.3,4.5,0.2,4.3,2.0,1.1,0.6,0.2,0.0,0.0
1941,6.8,0.0,0.0,0.0,0.6,0.1,1.4,4.7,0.2,4.6,2.1,1.2,0.6,0.2,0.0,0.1
1942,7.1,0.0,0.0,0.0,0.7,0.1,1.4,4.9,0.2,4.7,2.1,1.2,0.7,0.2,0.0,0.1
1943,7.0,0.0,0.0,0.0,0.6,0.1,1.3,5.0,0.2,4.8,2.1,1.2,0.6,0.2,0.0,0.1
1944,7.1,0.0,0.0,0.0,0.7,0.1,1.3,5.1,0.2,4.9,2.1,1.2,0.7,0.2,0.0,0.1
1945,7.5,0.0,0.0,0.0,0.7,0.1,1.4,5.3,0.2,5.2,2.2,1.2,0.7,0.2,0.0,0.1
1946,8.3,0.1,0.0,0.0,0.8,0.1,1.5,5.9,0.2,5.7,2.4,1.3,0.8,0.2,0.0,0.1
1947,9.8,0.1,0.0,0.0,0.9,0.2,1.9,6.9,0.2,6.6,2.9,1.6,0.9,0.3,0.0,0.1
1948,11.4,0.1,0.0,0.0,1.1,0.2,2.2,7.9,0.3,7.7,3.5,2.0,1.1,0.3,0.0,0.1
1949,12.9,0.1,0.0,0.0,1.3,0.2,2.6,8.8,0.3,8.5,4.1,2.4,1.3,0.3,0.0,0.1
1950,14.4,0.1,0.0,0.0,1.6,0.2,2.9,9.6,0.3,9.3,4.7,2.7,1.4,0.4,0.0,0.1
1951,15.8,0.1,0.0,0.0,1.8,0.2,3.3,10.6,0.4,10.2,5.3,3.0,1.6,0.4,0.0,0.2
1952,17.2,0.1,0.0,0.0,1.9,0.2,3.5,11.6,0.4,11.2,5.7,3.2,1.7,0.5,0.0,0.2
1953,18.8,0.2,0.0,0.0,2.0,0.3,3.8,12.8,0.4,12.3,6.1,3.4,1.8,0.6,0.0,0.2
1954,20.4,0.2,0.0,0.0,2.1,0.3,4.1,14.0,0.5,13.5,6.5,3.6,2.0,0.6,0.0,0.2
1955,22.1,0.2,0.0,0.0,2.2,0.3,4.4,15.2,0.6,14.7,6.9,3.8,2.1,0.7,0.0,0.2
1956,24.0,0.2,0.0,0.0,2.2,0.3,4.8,16.7,0.6,16.1,7.3,4.0,2.2,0.8,0.1,0.2
1957,26.0,0.2,0.0,0.0,2.2,0.3,5.1,18.4,0.7,17.7,7.7,4.2,2.3,0.8,0.1,0.2
1958,28.4,0.2,0.0,0.0,2.4,0.4,5.5,20.2,0.8,19.5,8.2,4.5,2.5,0.9,0.1,0.2
1959,30.0,0.2,0.0,0.0,2.4,0.4,5.7,21.5,0.8,20.7,8.5,4.6,2.6,1.0,0.1,0.2
1960,31.3,0.2,0.0,0.0,2.4,0.4,5.9,22.6,0.8,21.8,8.7,4.6,2.6,1.1,0.1,0.2
1961,33.1,0.2,0.1,0.0,2.5,0.4,6.1,24.1,0.9,23.2,9.0,4.7,2.7,1.2,0.1,0.3
1962,35.1,0.2,0.1,0.0,2.5,0.4,6.4,25.7,0.9,24.8,9.3,4.9,2.8,1.3,0.1,0.3
1963,37.3,0.2,0.1,0.0,2.6,0.4,6.8,27.6,1.0,26.6,9.8,5.0,2.9,1.5,0.1,0.3
1964,39.9,0.2,0.1,0.0,2.7,0.4,7.1,29.6,1.1,28.5,10.3,5.2,3.1,1.6,0.1,0.3
1965,43.2,0.2,0.1,0.0,2.9,0.4,7.6,32.3,1.2,31.0,11.0,5.5,3.3,1.8,0.1,0.3
1966,47.3,0.2,0.1,0.0,3.1,0.4,8.2,35.6,1.4,34.2,11.8,5.9,3.5,1.9,0.1,0.3
1967,51.6,0.2,0.1,0.0,3.4,0.5,8.7,39.1,1.6,37.5,12.5,6.2,3.8,2.1,0.1,0.3
1968,56.0,0.2,0.1,0.0,3.5,0.5,9.2,42.8,1.8,41.0,13.2,6.5,4.0,2.3,0.1,0.3
