"Table 4.6. Historical-Cost Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 31, 2015"
"Line"," ","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","      Private nonresidential fixed assets",5.9,6.3,6.5,6.6,6.9,7.0,6.9,6.6,6.2,6.0,5.9,5.9,6.1,6.2,6.3,6.5,6.8,7.1,7.0,7.1,7.5,8.3,9.8,11.4,12.9,14.4,15.8,17.2,18.8,20.4,22.1,24.0,26.0,28.4,30.0,31.3,33.1,35.1,37.3,39.9,43.2,47.3,51.6,56.0,61.1,66.2,71.2,77.1,85.2,93.8,102.4,112.3,125.0,140.8,160.3,181.5,205.0,231.4,255.1,281.2,312.4,340.4,367.7,394.6,423.8,453.0,478.9,503.1,531.3,565.3,605.4,651.8,705.9,767.9,836.2,909.7,971.3,1010.1,1039.9,1074.2,1118.4,1175.4,1240.3,1299.0,1328.1,1342.4,1375.4,1428.6,1492.6,1562.5
"2","        Equipment",4.2,4.5,4.5,4.6,4.7,4.7,4.5,4.2,3.9,3.6,3.6,3.6,3.7,3.8,3.8,3.9,4.2,4.3,4.2,4.3,4.5,5.2,6.3,7.7,8.9,10.0,11.1,12.1,13.1,14.2,15.2,16.3,17.6,19.2,19.9,20.4,21.3,22.4,23.7,25.2,27.5,30.2,32.9,35.7,38.9,42.0,45.1,49.1,54.3,60.1,65.7,72.2,81.0,92.1,105.5,119.1,133.1,148.7,161.8,176.5,194.9,210.6,226.5,241.5,256.9,270.7,281.1,290.8,305.3,325.8,351.2,379.5,409.5,442.5,477.5,512.9,539.2,553.0,563.0,576.3,596.0,623.6,654.8,676.7,675.2,670.2,681.8,705.6,736.8,770.4
"3","        Structures",1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.0,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1,2.3,2.5,2.6,2.8,3.1,3.3,3.6,3.9,4.2,4.6,5.0,5.3,5.7,6.0,6.4,6.8,7.2,7.6,8.1,8.6,9.2,9.8,10.4,11.1,11.9,12.7,14.2,15.4,16.6,18.0,19.5,21.5,24.1,27.4,31.8,36.8,41.2,45.0,49.2,52.9,55.9,58.9,62.0,65.5,68.8,71.3,73.7,76.2,79.1,82.5,86.5,91.2,96.0,101.2,107.3,112.5,117.1,122.3,128.6,137.3,148.4,161.3,172.2,179.4,186.5,195.4,205.5,216.2
"4","        Intellectual property products",0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.3,1.4,1.5,1.6,1.8,2.1,2.4,2.7,3.1,3.5,3.9,4.4,4.9,5.4,5.9,6.5,7.1,7.7,8.5,9.5,10.5,11.7,13.0,14.2,15.3,16.7,18.3,20.1,22.2,24.5,27.2,30.7,35.0,40.1,45.9,52.2,59.7,68.3,76.9,85.3,94.2,104.9,116.8,129.0,140.9,152.3,163.3,175.1,189.9,209.9,234.2,262.6,295.6,324.8,344.6,359.8,375.6,393.9,414.5,437.1,461.0,480.7,492.8,507.1,527.6,550.3,576.0
" ","By selected industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","  Farms",0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1.1,1.4,1.6,1.8,1.9,2.1,2.2,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.6,2.7,2.9,3.1,3.3,3.6,3.8,3.9,4.1,4.3,4.6,5.0,5.5,6.1,6.9,7.7,8.5,9.5,10.3,10.9,11.4,11.4,11.4,11.5,11.3,11.1,11.1,11.4,11.8,12.1,12.1,12.3,12.9,13.7,14.6,15.7,16.9,17.5,17.8,18.1,18.6,19.3,20.3,21.3,22.2,23.0,24.1,25.2,26.4,28.0,30.6,34.0,36.9
"6","    Equipment",0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.8,1.0,1.2,1.4,1.6,1.7,1.9,2.0,2.0,2.1,2.1,2.2,2.3,2.3,2.3,2.3,2.4,2.5,2.7,2.9,3.2,3.3,3.5,3.7,3.8,4.1,4.5,5.0,5.5,6.2,6.9,7.7,8.6,9.3,9.8,10.2,10.2,10.2,10.2,10.0,9.9,9.8,10.1,10.5,10.7,10.8,10.9,11.4,12.1,13.0,14.0,15.2,15.8,16.1,16.4,16.9,17.5,18.4,19.4,20.2,20.9,21.9,22.9,24.0,25.5,28.0,31.3,34.1
"7","    Structures",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2.0,2.0,2.2,2.3,2.4,2.4,2.5,2.7,2.8
"8","    Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
"9","  Manufacturing",1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.8,1.8,1.9,2.1,2.3,2.8,3.2,3.6,3.8,4.2,4.6,5.1,5.6,6.1,6.8,7.6,8.3,8.8,9.3,9.9,10.6,11.3,12.1,13.2,14.7,16.2,17.8,19.5,21.1,22.7,24.4,26.4,29.1,32.1,35.2,39.0,43.3,48.3,54.2,61.2,68.4,73.9,80.1,88.4,95.9,102.5,108.6,115.4,123.3,131.0,138.4,145.5,153.2,163.8,177.7,193.2,208.9,222.8,235.6,247.6,253.8,254.9,256.2,261.3,270.5,283.4,299.1,308.4,311.8,319.5,330.9,344.7,361.6
