year,RoPM,RoPW,RoP-CH
1955,32.0,25.2,23.9
1956,31.2,23.4,22.2
1957,31.3,23.5,22.3
1958,30.1,23.0,21.9
1959,30.4,24.0,22.8
1960,32.1,25.9,24.6
1961,31.5,25.8,24.5
1962,30.3,25.5,24.2
1963,30.6,25.4,24.2
1964,32.0,26.4,25.0
1965,30.6,26.8,25.4
1966,30.0,26.3,25.0
1967,29.3,25.7,24.4
1968,29.5,26.2,24.9
1969,29.8,25.7,24.4
1970,28.5,24.2,23.0
1971,27.0,23.4,22.2
1972,27.2,23.4,22.2
1973,28.3,23.3,22.2
1974,26.5,20.9,19.8
1975,22.9,19.5,18.5
1976,23.9,20.2,19.2
1977,23.8,20.1,19.1
1978,23.9,20.0,18.9
1979,22.8,19.1,18.0
1980,21.8,18.2,16.7
1981,20.0,17.1,16.0
1982,18.9,16.3,14.7
1983,19.4,17.3,15.6
1984,20.3,18.5,16.9
1985,20.2,19.0,17.1
1986,20.4,19.1,16.9
1987,20.7,18.9,16.8
1988,21.2,19.2,16.9
1989,21.1,19.0,17.2
1990,20.6,18.7,17.3
1991,21.1,19.3,17.2
1992,20.5,19.3,17.0
1993,20.1,19.6,16.8
1994,20.9,19.8,17.5
1995,21.4,19.8,17.5
1996,21.1,19.8,18.1
1997,21.6,20.3,18.5
1998,20.6,19.3,17.8
1999,20.3,19.3,17.8
2000,20.1,18.6,17.1
2001,19.2,17.9,16.5
2002,19.0,18.5,16.7
2003,19.6,19.5,17.2
2004,20.4,20.6,17.7
2005,20.5,20.3,17.8
2006,21.0,19.9,17.7
2007,21.1,20.2,17.8
2008,19.9,21.0,16.4
2009,17.1,17.0,15.6
2010,18.4,16.5,15.6
