"Table 4.3. Historical-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 31, 2015"
"Line"," ","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","      Private nonresidential fixed assets",90.3,95.0,99.2,103.5,108.3,111.0,110.5,107.8,105.0,103.3,102.6,103.3,105.7,106.2,107.1,109.4,113.2,114.2,114.2,116.1,121.1,131.5,146.8,164.0,178.0,193.6,212.0,229.7,249.7,267.5,288.3,313.8,340.6,360.9,383.6,408.2,431.4,457.4,484.5,516.7,558.4,607.5,654.3,705.1,763.0,819.9,877.1,944.5,1030.3,1126.2,1219.2,1324.2,1455.4,1625.4,1835.4,2056.1,2318.7,2564.3,2783.3,3059.6,3349.6,3605.0,3845.4,4105.2,4384.9,4664.3,4899.1,5121.0,5380.7,5671.2,6022.4,6412.2,6849.1,7325.9,7839.5,8406.8,8858.0,9179.0,9488.8,9850.9,10310.0,10897.4,11566.4,12197.7,12485.8,12793.9,13224.5,13782.2,14360.3,15016.0
"2","        Equipment",31.3,32.2,32.6,33.3,34.3,34.1,32.7,30.5,28.5,27.4,26.9,27.4,28.7,28.7,29.1,30.4,32.7,33.0,33.0,34.2,37.4,42.5,51.7,61.3,68.1,75.9,84.7,92.4,100.8,107.2,115.6,125.2,136.0,142.2,150.3,159.1,166.4,175.9,186.4,199.9,218.4,241.5,262.3,285.2,311.5,335.5,358.9,388.2,429.0,474.4,516.6,566.6,634.7,723.7,828.3,926.8,1036.3,1122.2,1205.8,1318.9,1426.5,1523.5,1608.8,1707.8,1814.6,1907.7,1981.7,2064.2,2180.0,2327.0,2501.8,2685.5,2881.8,3093.2,3320.6,3560.5,3711.2,3801.6,3889.3,4013.1,4185.5,4407.2,4630.1,4774.7,4732.5,4790.6,4943.1,5164.2,5389.8,5642.8
"3","        Structures",57.1,60.9,64.5,68.0,71.6,74.3,75.0,74.5,73.7,73.1,72.6,72.7,73.5,73.7,74.0,74.6,75.8,75.9,75.6,75.9,77.1,81.6,86.8,93.7,100.2,107.3,116.1,125.1,135.0,145.0,155.8,169.4,183.3,195.4,207.9,221.3,234.6,248.6,262.5,278.5,298.4,320.2,341.7,364.6,390.9,418.7,448.1,481.1,520.1,563.6,606.8,651.9,703.8,771.9,860.1,963.2,1091.9,1225.1,1331.6,1459.8,1605.4,1727.7,1848.0,1970.3,2098.0,2236.6,2347.4,2440.0,2539.4,2640.4,2765.1,2907.8,3070.3,3252.3,3437.2,3650.6,3864.7,4033.6,4194.4,4367.0,4573.5,4849.2,5194.4,5578.8,5838.9,6017.3,6210.3,6452.8,6705.6,6994.4
"4","        Intellectual property products",1.8,1.9,2.1,2.2,2.5,2.6,2.8,2.8,2.8,2.9,3.1,3.3,3.5,3.8,4.0,4.3,4.8,5.3,5.6,6.0,6.6,7.4,8.3,9.1,9.7,10.4,11.1,12.3,13.9,15.4,17.0,19.1,21.2,23.3,25.5,27.8,30.3,32.8,35.6,38.3,41.7,45.9,50.3,55.3,60.7,65.6,70.0,75.2,81.1,88.2,95.8,105.7,116.9,129.8,147.0,166.1,190.5,217.0,245.9,280.9,317.6,353.8,388.6,427.1,472.3,519.9,570.0,616.8,661.4,703.8,755.5,818.9,897.0,980.4,1081.8,1195.7,1282.1,1343.9,1405.0,1470.8,1551.0,1641.0,1741.9,1844.2,1914.4,1986.0,2071.1,2165.3,2264.8,2378.8
" ","By selected industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","  Farms",6.8,6.9,7.1,7.3,7.4,7.5,7.2,6.8,6.5,6.3,6.3,6.4,6.6,6.7,6.8,6.8,7.2,7.2,7.2,7.5,7.8,8.7,10.4,12.5,14.4,16.2,17.8,19.2,20.4,21.2,22.0,22.5,23.0,23.7,24.9,25.8,26.6,27.8,29.4,31.0,33.0,35.3,37.6,39.4,41.3,43.6,45.9,48.4,53.2,58.8,66.0,73.3,81.4,90.8,101.9,109.2,116.3,118.5,119.9,122.2,121.3,119.5,118.0,119.6,122.6,126.3,128.1,127.9,131.2,136.9,143.5,150.6,160.0,168.0,170.8,175.5,181.2,188.8,197.0,207.2,217.4,225.2,234.0,247.7,259.7,271.0,286.4,313.2,340.4,362.5
"6","    Equipment",2.9,3.0,3.1,3.2,3.4,3.4,3.2,2.9,2.7,2.5,2.5,2.7,2.9,3.0,3.1,3.2,3.5,3.6,3.5,3.7,4.0,4.3,5.4,6.8,8.2,9.4,10.5,11.3,11.9,12.3,12.8,12.9,13.1,13.6,14.2,14.3,14.6,15.0,15.7,16.6,17.9,19.4,21.0,22.0,23.1,24.5,25.9,27.8,31.3,34.8,39.3,43.7,48.6,54.2,61.1,65.0,69.2,69.6,69.6,70.6,69.5,67.9,66.3,67.3,70.0,73.2,74.4,74.1,76.4,80.8,86.2,91.8,100.1,106.9,108.3,110.5,113.4,118.1,123.4,130.7,137.6,142.4,147.9,156.5,164.3,172.3,184.7,207.2,228.7,244.8
"7","    Structures",3.9,3.9,4.0,4.0,4.1,4.1,4.0,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,4.4,5.0,5.7,6.3,6.8,7.3,7.9,8.4,8.9,9.2,9.6,9.9,10.1,10.7,11.5,12.1,12.8,13.7,14.4,15.2,15.9,16.7,17.4,18.2,19.1,19.9,20.6,21.9,24.0,26.8,29.6,32.8,36.5,40.7,44.2,47.1,48.9,50.3,51.6,51.8,51.6,51.8,52.2,52.6,53.1,53.5,53.6,54.5,55.7,56.9,58.5,59.5,60.7,62.2,64.7,67.6,70.6,73.4,76.4,79.7,82.7,86.1,91.2,95.3,98.6,101.6,105.9,111.6,117.7
"8","    Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"9","  Manufacturing",13.5,14.0,14.5,15.2,16.3,16.7,16.5,15.9,15.6,15.5,15.6,15.9,16.8,17.0,17.3,18.2,19.8,20.7,21.0,21.9,23.6,27.0,31.5,35.4,37.5,39.7,44.3,49.2,54.1,58.4,62.9,70.4,78.0,82.3,86.1,91.7,96.5,102.0,107.9,115.7,126.8,141.4,155.0,168.6,183.7,198.0,210.4,224.8,242.4,268.4,293.7,320.3,351.5,390.3,435.0,486.9,547.1,594.9,632.8,685.6,743.3,787.8,827.9,869.4,926.1,985.4,1041.3,1095.1,1142.8,1204.1,1289.4,1388.6,1486.1,1581.7,1665.4,1756.7,1833.7,1869.7,1893.8,1925.8,1983.0,2057.8,2171.0,2282.8,2326.0,2375.4,2454.0,2550.2,2668.1,2806.1
