"Table 6.3. Historical-Cost Net Stock of Private Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 31, 2015"
"Line"," ","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","      Private fixed assets",147.9,157.4,166.0,174.0,181.6,185.4,185.4,182.2,178.8,176.8,176.2,177.4,180.6,182.0,184.7,189.3,196.0,198.0,198.3,200.6,205.9,222.8,248.8,280.0,306.6,340.5,374.7,408.0,444.1,479.5,521.3,565.9,610.1,647.5,692.8,737.7,780.9,829.0,881.0,939.7,1007.4,1080.0,1150.1,1230.0,1320.5,1408.1,1509.6,1633.8,1780.9,1927.7,2067.3,2237.1,2459.1,2739.4,3065.8,3381.3,3735.0,4051.9,4389.7,4810.3,5249.1,5683.1,6110.8,6558.2,7018.6,7458.0,7829.7,8214.9,8667.1,9177.6,9746.3,10380.8,11072.3,11837.7,12671.8,13572.9,14373.6,15077.0,15833.4,16729.8,17786.9,18960.4,20051.6,20920.9,21327.4,21743.9,22289.1,23006.8,23817.0,24738.4
" ","By legal form of organization:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","  Corporate",70.4,73.5,76.2,79.0,82.5,84.5,84.1,82.3,80.5,79.4,78.8,79.3,80.9,81.2,81.8,83.4,86.3,87.5,87.8,89.5,93.3,100.7,111.1,122.6,131.5,141.4,154.4,167.9,183.0,196.4,211.3,231.4,252.7,267.7,284.5,303.7,321.5,341.0,361.0,385.1,416.6,455.3,492.6,533.5,579.6,623.8,667.7,719.9,785.9,863.5,937.5,1021.3,1127.0,1263.3,1430.3,1609.0,1815.7,2008.7,2183.9,2405.2,2634.8,2835.1,3015.5,3209.7,3425.3,3656.0,3852.2,4041.9,4261.0,4507.2,4808.7,5144.1,5511.4,5901.4,6319.6,6777.5,7127.3,7346.4,7560.1,7819.2,8164.8,8614.6,9122.7,9590.8,9772.3,9992.7,10323.9,10759.1,11218.7,11746.5
"3","    Financial",2.2,2.3,2.4,2.6,2.7,2.9,2.9,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.7,2.7,2.6,2.9,3.1,3.4,3.7,4.0,4.4,4.8,5.4,5.9,6.7,7.6,8.4,9.0,9.8,10.7,11.6,12.6,13.6,15.1,16.8,18.5,20.4,23.2,26.0,28.6,31.8,35.1,40.1,46.7,53.6,60.8,68.4,79.2,93.3,110.5,130.7,152.1,174.9,204.3,237.6,273.1,307.2,344.0,385.5,421.2,446.1,468.4,493.6,522.4,549.5,583.5,619.3,670.9,726.2,775.0,808.5,838.8,862.1,898.6,932.3,968.6,1019.0,1049.7,1046.6,1046.1,1058.6,1089.1,1127.1,1172.3
"4","    Nonfinancial",68.1,71.2,73.8,76.4,79.7,81.6,81.3,79.5,77.7,76.7,76.2,76.6,78.2,78.5,79.1,80.7,83.5,84.7,85.1,86.8,90.6,97.8,108.0,119.2,127.8,137.4,149.9,163.1,177.7,190.5,204.7,223.8,244.3,258.7,274.7,293.0,309.9,328.4,347.4,370.0,399.8,436.8,472.1,510.3,553.6,595.2,635.9,684.8,745.8,816.8,883.9,960.6,1058.5,1184.1,1337.0,1498.5,1685.0,1856.6,2008.9,2200.9,2397.1,2561.9,2708.3,2865.7,3039.8,3234.8,3406.1,3573.5,3767.4,3984.7,4259.2,4560.6,4892.1,5230.4,5593.3,6002.6,6318.8,6507.6,6698.0,6920.6,7232.6,7646.0,8103.7,8541.1,8725.7,8946.6,9265.3,9669.9,10091.6,10574.2
"5","  Noncorporate",77.5,83.9,89.8,95.1,99.2,101.0,101.3,99.9,98.3,97.4,97.4,98.2,99.7,100.8,103.0,105.8,109.7,110.5,110.5,111.1,112.7,122.2,137.7,157.4,175.1,199.1,220.3,240.1,261.1,283.1,309.9,334.5,357.4,379.8,408.3,434.0,459.4,488.0,520.0,554.6,590.7,624.7,657.5,696.5,741.0,784.3,841.9,913.9,995.0,1064.2,1129.8,1215.8,1332.1,1476.1,1635.5,1772.3,1919.3,2043.2,2205.8,2405.1,2614.4,2848.0,3095.3,3348.5,3593.3,3802.0,3977.6,4173.0,4406.1,4670.4,4937.5,5236.8,5560.8,5936.3,6352.2,6795.4,7246.3,7730.5,8273.3,8910.6,9622.1,10345.8,10928.9,11330.1,11555.1,11751.3,11965.2,12247.7,12598.3,12991.9
"6","    Sole proprietorships",18.6,20.3,21.9,23.4,24.6,24.8,24.5,23.7,23.0,22.5,22.3,22.4,22.8,22.9,23.3,23.7,24.4,24.3,24.1,24.2,24.8,26.7,30.0,34.0,37.5,41.4,44.5,46.9,49.6,52.0,55.1,57.7,60.5,63.8,66.6,69.2,71.7,74.8,78.2,81.9,86.2,91.3,95.6,104.0,115.3,126.5,140.2,158.2,176.8,196.3,208.9,221.9,239.0,263.6,295.7,323.7,356.3,380.8,406.0,437.0,469.2,502.8,533.4,563.9,593.3,614.2,628.5,641.2,661.6,686.4,718.2,750.5,786.9,822.1,858.0,892.2,920.7,948.1,978.8,1014.1,1053.7,1097.6,1137.6,1172.5,1186.7,1194.6,1207.8,1234.1,1267.8,1306.8
"7","    Partnerships",6.1,6.5,6.9,7.3,7.8,7.9,7.8,7.5,7.3,7.1,7.0,7.1,7.3,7.4,7.5,7.7,8.0,7.9,7.9,7.9,8.3,9.2,10.6,12.2,13.5,15.0,16.3,17.3,18.5,19.6,21.2,22.6,23.9,25.0,26.5,27.8,29.1,30.7,32.5,34.6,37.4,40.4,43.0,45.4,48.7,52.1,55.7,59.6,64.9,69.4,73.9,78.9,85.1,94.5,108.9,124.3,146.8,168.8,185.5,208.6,236.6,261.3,287.1,314.6,339.9,353.7,361.6,364.9,373.9,384.4,398.4,414.3,433.5,462.1,500.2,547.4,592.5,636.1,675.0,719.0,772.1,838.2,916.5,991.7,1030.1,1064.2,1104.0,1155.4,1209.2,1268.7
"8","    Nonprofit institutions",5.3,6.1,6.8,7.5,8.1,8.5,8.8,8.8,8.7,8.6,8.6,8.6,8.7,8.8,8.9,9.1,9.3,9.2,9.1,9.0,9.1,9.5,10.1,11.1,12.2,13.7,15.2,16.6,18.1,19.9,21.9,24.1,26.5,29.2,32.0,35.3,38.9,43.1,46.7,50.8,55.6,60.6,65.1,69.9,75.7,81.5,88.0,96.3,104.6,112.6,119.4,126.3,134.7,144.2,154.7,165.6,177.6,191.6,207.6,225.0,242.2,261.3,283.6,307.0,332.3,358.5,382.2,405.8,426.3,446.3,467.5,490.4,524.3,566.7,611.4,661.7,712.4,767.7,824.0,880.8,936.6,999.8,1070.0,1141.5,1200.2,1243.4,1289.5,1337.5,1381.8,1428.9
"9","    Households",47.6,51.0,54.1,56.8,58.8,59.7,60.2,59.8,59.4,59.3,59.4,59.9,60.6,61.4,63.0,65.0,67.5,68.5,68.8,69.3,69.8,75.9,86.0,98.7,110.3,127.3,142.2,157.1,172.3,188.9,208.9,227.0,243.2,258.4,279.7,297.9,315.6,335.2,358.2,382.5,406.6,427.3,448.4,471.3,495.1,517.5,550.9,592.2,640.6,677.1,717.8,777.7,860.9,960.6,1061.4,1143.0,1221.8,1284.8,1389.4,1517.1,1647.0,1801.9,1969.9,2141.2,2305.6,2452.3,2581.0,2735.9,2917.8,3125.9,3324.9,3551.5,3784.9,4052.3,4347.7,4655.4,4977.6,5332.1,5745.7,6244.4,6804.4,7350.9,7739.7,7953.3,8060.3,8165.3,8273.7,8422.1,8634.3,8875.4
