"Table 1.10. Gross Domestic Income by Type of Income"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2015 - Next Release Date January 29, 2016"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","        Gross domestic income",103.8,92.6,76.7,59.3,56.7,66.4,74.5,83.7,93.1,86.7,92.2,101.9,129.0,166.9,205.0,222.0,224.3,226.6,247.1,275.1,271.1,298.9,343.9,365.2,386.0,388.3,424.1,452.2,475.2,481.4,522.3,544.6,564.3,605.2,640.1,685.8,743.0,809.9,858.3,939.3,1018.3,1070.5,1158.3,1275.3,1422.4,1541.4,1675.7,1857.1,2066.7,2333.4,2587.4,2818.6,3174.2,3338.2,3584.0,4002.0,4295.5,4513.4,4829.7,5253.1,5593.5,5888.2,6085.7,6428.4,6726.4,7171.9,7573.5,8043.6,8596.2,9149.3,9698.1,10384.3,10736.8,11050.3,11524.3,12283.5,13129.2,14073.2,14460.1,14619.2,14343.4,14915.2,15556.3,16358.5,16840.8,17560.1
"2","Compensation of employees, paid",51.4,47.2,40.1,31.4,29.8,34.6,37.7,43.3,48.4,45.5,48.6,52.8,66.2,88.1,112.8,124.5,126.5,122.6,132.4,144.4,144.5,158.4,185.9,201.3,215.5,214.5,231.0,249.7,263.1,265.2,286.4,302.0,311.2,333.0,351.2,376.9,406.3,450.3,482.9,532.1,586.0,625.1,667.0,733.6,815.1,890.3,950.2,1051.3,1169.0,1320.3,1481.1,1626.3,1795.4,1894.5,2014.1,2217.6,2389.2,2545.6,2725.7,2950.9,3143.9,3345.0,3454.7,3674.1,3824.0,4014.1,4206.7,4426.2,4719.1,5082.4,5417.5,5863.1,6053.8,6149.7,6372.7,6748.8,7097.9,7513.7,7908.8,8090.0,7795.7,7969.5,8277.1,8618.5,8848.7,9258.4
"3","    Wages and salaries",50.5,46.2,39.2,30.5,29.0,33.7,36.7,42.0,46.1,43.0,46.0,49.9,62.1,82.1,105.8,116.8,117.6,112.0,123.0,135.5,134.7,147.2,171.6,185.6,199.0,197.3,212.2,229.1,240.0,241.4,259.9,273.0,280.7,299.5,314.9,337.8,363.8,400.3,429.0,472.0,518.3,551.5,584.5,638.8,708.8,772.3,814.9,899.8,994.2,1120.7,1253.4,1373.5,1511.5,1587.7,1677.7,1845.1,1982.8,2104.1,2257.6,2440.6,2584.3,2743.5,2817.2,2968.5,3082.7,3240.6,3422.1,3620.6,3881.2,4186.2,4465.2,4832.4,4961.6,5004.2,5146.1,5431.2,5703.1,6068.8,6405.7,6543.6,6260.1,6385.6,6641.2,6938.9,7123.5,7487.2
"4","            To persons","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",135.4,134.6,147.1,171.5,185.5,198.9,197.1,212.0,228.9,239.8,241.2,259.7,272.7,280.4,299.2,314.7,337.6,363.6,400.1,428.8,471.7,518.1,551.3,584.3,638.5,708.5,772.0,814.5,899.4,993.8,1120.2,1252.9,1373.0,1510.9,1587.0,1676.9,1844.3,1981.9,2101.4,2255.3,2438.8,2582.0,2740.0,2813.2,2963.7,3077.5,3234.6,3415.8,3614.3,3874.6,4179.2,4453.8,4821.5,4949.9,4991.8,5133.2,5417.2,5687.2,6052.3,6389.9,6526.5,6245.7,6371.6,6627.1,6924.0,7107.6,7470.9
"5","            To the rest of the world","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4.0,4.8,5.1,6.0,6.3,6.3,6.7,7.0,11.4,11.0,11.7,12.4,12.9,14.0,15.9,16.4,15.7,17.1,14.4,14.0,14.2,14.9,15.8,16.3
"6","    Supplements to wages and salaries",1.0,1.0,1.0,0.9,0.8,0.9,1.0,1.4,2.2,2.5,2.6,2.9,4.2,6.0,7.0,7.7,8.9,10.6,9.4,8.9,9.8,11.2,14.3,15.7,16.5,17.2,18.7,20.6,23.0,23.8,26.5,29.0,30.6,33.6,36.3,39.0,42.6,50.0,53.9,60.1,67.7,73.6,82.5,94.9,106.3,118.0,135.3,151.5,174.8,199.7,227.7,252.8,283.9,306.8,336.4,372.5,406.4,441.5,468.0,510.3,559.5,601.5,637.5,705.6,741.3,773.5,784.6,805.6,837.8,896.2,952.3,1030.7,1092.1,1145.5,1226.6,1317.6,1394.8,1444.9,1503.1,1546.4,1535.6,1583.9,1635.9,1679.6,1725.3,1771.2
"7","Taxes on production and imports",6.8,7.0,6.7,6.6,6.9,7.6,8.0,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23.0,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47.0,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425.0,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.6,808.0,863.9,934.5,991.9,1034.6,1041.9,1026.1,1057.1,1102.6,1132.1,1178.0,1213.7
"8","Less: Subsidies 1",0.0,0.1,0.1,0.1,0.2,0.5,0.6,0.3,0.3,0.5,0.8,0.8,0.5,0.5,0.6,1.0,1.1,1.4,0.4,0.5,0.5,0.8,1.0,0.8,0.5,0.3,0.2,0.7,1.1,1.4,1.1,1.1,2.0,2.3,2.2,2.7,3.0,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15.0,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27.0,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.9,60.1,58.0,59.4,57.9
"9","Net operating surplus","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",130.5,131.3,137.5,150.0,159.7,172.0,190.9,205.1,207.8,221.7,228.1,222.0,246.6,279.5,317.3,323.3,357.1,405.4,456.8,526.1,563.6,575.7,669.6,683.5,767.4,921.4,982.9,987.1,1058.8,1174.8,1242.1,1258.4,1270.2,1341.3,1432.4,1589.5,1720.9,1895.9,2059.4,2153.6,2251.4,2344.2,2410.1,2517.3,2665.4,2885.5,3175.7,3483.0,3307.0,3176.5,3211.6,3562.8,3785.9,4131.7,4240.6,4399.2
"10","    Private enterprises",35.2,28.3,20.5,13.1,12.1,16.3,20.9,23.4,26.4,22.8,25.1,29.5,40.1,52.9,62.3,63.5,60.7,62.7,67.8,80.1,73.9,85.0,96.5,96.9,98.4,99.2,112.9,114.9,117.8,117.5,129.9,130.9,137.2,149.6,158.9,171.2,190.2,204.8,207.6,221.4,228.1,223.2,248.3,280.6,319.5,326.0,361.5,408.1,460.1,528.9,566.8,580.8,674.8,687.3,769.7,922.8,981.6,985.2,1056.6,1169.8,1235.4,1255.2,1262.3,1331.4,1421.6,1577.7,1705.3,1879.0,2041.9,2137.3,2235.2,2333.4,2404.9,2510.3,2661.5,2887.3,3182.1,3492.3,3323.5,3197.7,3232.2,3585.7,3810.5,4151.0,4259.4,4417.5
