"Table 6.16D. Corporate Profits by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2015 - Next Release Date January 29, 2016"
"Line"," ","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","        Corporate profits with inventory valuation and capital consumption adjustments",804.1,830.2,781.2,754.0,907.2,1056.4,1283.3,1477.7,1646.5,1529.0,1285.1,1397.0,1746.4,1816.6,1998.2,2037.4,2072.9
"2","Domestic industries",701.3,708.2,635.0,583.6,748.4,889.7,1078.3,1238.7,1390.3,1175.6,878.4,1039.8,1351.2,1394.7,1587.8,1622.6,1654.7
"3","    Financial 1",143.5,161.8,154.9,201.7,280.0,306.3,336.1,367.7,375.3,261.0,64.1,321.7,368.2,355.7,438.2,385.8,383.6
"4","    Nonfinancial",557.8,546.4,480.1,382.0,468.4,583.4,742.2,870.9,1015.0,914.6,814.3,718.1,983.0,1039.0,1149.7,1236.8,1271.1
"5","Rest of the world",102.8,122.0,146.2,170.4,158.8,166.6,205.0,239.1,256.2,353.4,406.7,357.2,395.2,421.9,410.3,414.8,418.2
"6","    Receipts from the rest of the world",146.8,177.3,203.0,183.3,205.3,250.0,328.2,383.7,433.8,510.4,582.0,498.1,584.6,644.3,650.3,668.7,690.3
"7","    Less: Payments to the rest of the world",44.0,55.3,56.9,12.9,46.5,83.4,123.1,144.6,177.6,157.0,175.3,140.9,189.4,222.4,239.9,253.9,272.1
"8","        Corporate profits with inventory valuation adjustment",743.8,762.2,730.3,698.7,795.1,959.9,1215.2,1621.2,1815.7,1708.9,1345.5,1479.2,1799.7,1738.5,2116.6,2164.9,2204.9
"9","Domestic industries",641.1,640.2,584.1,528.3,636.3,793.3,1010.1,1382.1,1559.6,1355.5,938.8,1122.0,1404.5,1316.6,1706.3,1750.1,1786.6
"10","    Financial",138.9,154.6,149.7,195.0,270.7,306.5,349.4,409.7,415.1,301.5,95.4,362.9,406.3,375.9,479.0,423.6,423.4
"11","        Federal Reserve banks",25.6,26.7,31.2,28.9,23.5,20.1,20.0,26.6,33.8,36.0,35.1,47.3,71.6,75.9,71.7,79.6,103.4
"12","        Other financial 2",113.3,127.9,118.5,166.1,247.2,286.5,329.4,383.1,381.3,265.5,60.4,315.5,334.8,300.0,407.3,344.1,320.0
"13","    Nonfinancial",502.1,485.6,434.4,333.3,365.6,486.7,660.7,972.4,1144.4,1054.0,843.4,759.2,998.2,940.7,1227.2,1326.4,1363.2
"14","        Utilities",33.3,34.4,24.3,22.5,11.1,13.5,20.5,30.8,55.1,49.5,30.1,23.8,30.3,9.8,12.5,26.4,27.7
"15","        Manufacturing",193.5,184.5,175.6,75.1,75.1,125.3,182.7,277.7,349.7,321.9,240.6,171.4,287.6,298.1,395.7,426.4,439.8
"16","            Durable goods",114.0,97.0,82.3,-9.4,3.1,32.7,50.6,107.1,144.0,118.9,64.3,34.4,128.1,132.5,201.2,213.8,223.3
"17","                Fabricated metal products",16.8,16.4,15.6,9.2,8.7,8.6,12.3,18.2,18.4,21.0,16.5,11.7,15.3,16.1,23.4,23.1,23.8
"18","                Machinery",16.1,12.7,9.4,2.2,3.2,3.2,8.5,18.0,23.2,25.0,18.8,9.4,17.4,24.3,32.1,33.8,31.9
"19","                Computer and electronic products",19.8,6.6,20.5,-29.1,-24.3,-6.3,1.2,15.7,29.0,24.7,26.1,26.4,46.9,32.7,47.4,51.1,52.6
"20","                Electrical equipment, appliances, and components",8.8,10.2,6.9,1.1,-2.1,1.5,-0.2,-1.8,10.7,-1.5,4.4,8.9,10.2,4.8,11.6,14.0,16.2
"21","                Motor vehicles, bodies and trailers, and parts",16.9,13.8,4.0,-6.8,-3.0,7.9,-5.0,0.3,-5.3,-15.7,-39.6,-54.3,-9.7,-0.3,21.9,22.0,24.8
"22","                Other durable goods 3",35.6,37.4,25.8,14.0,20.6,17.8,33.8,56.8,68.0,65.2,38.1,32.3,48.0,54.8,64.9,69.9,73.9
"23","            Nondurable goods",79.4,87.5,93.3,84.5,72.0,92.6,132.1,170.5,205.7,203.0,176.3,137.0,159.5,165.6,194.5,212.6,216.5
"24","                Food and beverage and tobacco products",21.9,31.7,25.8,28.5,26.9,25.9,26.8,29.5,35.0,31.7,31.0,46.4,46.1,40.6,44.3,54.6,55.2
"25","                Petroleum and coal products",4.3,2.4,25.9,27.5,3.8,26.0,50.1,79.9,73.5,78.7,89.9,13.7,24.8,45.8,50.2,48.4,53.4
"26","                Chemical products",33.4,31.8,25.1,22.0,29.9,32.2,39.2,41.2,70.0,69.3,50.1,58.6,64.7,58.2,69.6,74.8,75.1
"27","                Other nondurable goods 4",19.8,21.7,16.6,6.6,11.4,8.5,16.0,19.9,27.1,23.3,5.4,18.2,23.9,20.9,30.4,34.7,32.8
"28","        Wholesale trade",57.3,55.6,59.5,51.1,55.8,59.3,74.7,96.2,105.9,103.2,90.6,89.3,102.4,94.4,135.3,145.5,147.7
"29","        Retail trade",62.5,59.5,51.3,71.3,83.7,90.5,93.2,121.7,132.5,119.0,80.3,108.7,118.6,114.3,154.1,159.4,158.4
"30","        Transportation and warehousing",12.8,7.2,9.5,-0.7,-6.0,4.8,12.0,27.7,41.2,23.9,28.8,22.4,44.7,30.4,53.8,53.0,65.3
"31","        Information",33.1,20.8,-11.9,-26.4,-3.1,16.3,52.7,91.3,107.0,108.4,92.2,81.2,95.1,83.8,100.6,129.4,126.5
"32","        Other nonfinancial 5",109.7,123.5,126.1,140.2,149.0,177.1,224.9,327.2,353.1,328.2,280.8,262.3,319.5,309.9,375.2,386.3,397.7
"33","Rest of the world",102.8,122.0,146.2,170.4,158.8,166.6,205.0,239.1,256.2,353.4,406.7,357.2,395.2,421.9,410.3,414.8,418.2
"Legend / Footnotes:"
"1. Consists of finance and insurance and bank and other holding companies."
"2. Consists of credit intermediation and related activities; securities, commodity contracts, and other financial investments and related activities; insurance carriers and related activities; funds, trusts, and other financial vehicles; and bank and other holding companies."
"3. Consists of wood products; nonmetallic mineral products; primary metals; other transportation equipment; furniture and related products; and miscellaneous manufacturing."
"4. Consists of textile mills and textile product mills; apparel; leather and allied products; paper products; printing and related support activities; and plastics and rubber products."
"5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real estate and rental and leasing; professional, scientific, and technical services; administrative and waste management services; educational services; health care and social assistance; arts, entertainment, and recreation; accommodation and food services; and other services, except government."
"Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS)."
