"Table 6.16B. Corporate Profits by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 06, 2015"
"Line"," ","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"1","        Corporate profits with inventory valuation and capital consumption adjustments",31.4,29.1,36.1,41.2,39.7,40.3,39.5,50.2,49.6,49.1,43.9,55.5,54.7,55.9,64.0,70.5,77.7,89.3,96.1,93.9,101.7,98.4,86.2,100.6,117.2,133.4,125.7,138.9,174.3,205.8,238.6,249.0,223.6,247.5,229.9,279.8,337.9,354.5,324.4,366.0
"2","Domestic industries",30.1,27.9,34.8,39.5,37.8,38.5,37.5,47.8,46.8,46.0,41.3,52.8,51.5,52.6,60.3,66.4,73.2,84.6,91.6,89.1,96.1,91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318.0
"3","    Financial",2.5,3.1,3.1,3.4,4.1,4.6,4.8,5.1,5.4,5.7,6.1,7.3,8.2,8.1,8.5,8.1,8.7,9.2,10.5,11.0,12.7,13.5,15.3,17.6,19.4,21.2,20.8,20.0,24.7,31.5,39.9,40.3,32.4,27.9,24.0,34.2,32.4,45.3,54.7,58.6
"4","    Nonfinancial",27.6,24.8,31.7,36.0,33.7,33.9,32.7,42.7,41.4,40.3,35.2,45.5,43.3,44.5,51.8,58.3,64.6,75.4,81.1,78.1,83.4,78.3,63.9,75.2,88.3,97.2,87.4,104.3,133.0,155.1,175.8,174.0,155.7,189.9,173.3,210.5,268.9,271.1,230.2,259.4
"5","Rest of the world",1.3,1.1,1.3,1.7,1.9,1.8,2.0,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48.0
"6","    Receipts from the rest of the world",1.7,1.6,1.8,2.2,2.3,2.3,2.4,2.9,3.4,3.6,3.1,3.4,3.8,4.0,4.5,4.9,5.4,5.8,5.7,6.0,7.0,8.0,8.7,9.8,11.8,17.6,20.4,17.9,20.9,23.8,29.0,42.6,43.8,38.1,36.7,41.1,46.1,46.8,48.7,58.9
"7","    Less:  Payments to the rest of the world",0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1.1,1.1,1.2,1.4,1.5,1.6,1.9,2.2,2.7,2.9,3.3,4.4,4.7,6.1,7.9,8.4,8.4,4.1,6.0,9.5,8.7,9.2,10.9
"8","        Corporate profits with inventory valuation adjustment",34.4,31.9,38.8,44.2,42.3,42.2,40.5,49.7,49.9,49.7,44.8,55.7,53.7,54.2,59.2,64.5,71.0,81.9,88.3,86.1,94.3,90.8,79.7,94.7,109.3,126.6,123.3,144.2,182.1,212.8,246.7,261.0,240.6,252.0,224.8,256.4,294.3,289.7,273.3,314.6
"9","Domestic industries",33.1,30.8,37.5,42.4,40.4,40.4,38.5,47.4,47.1,46.6,42.3,53.0,50.5,50.9,55.5,60.4,66.5,77.2,83.7,81.3,88.6,84.2,72.6,86.8,99.7,111.7,105.8,129.6,165.6,193.7,223.8,226.4,205.2,222.3,192.2,221.4,257.7,251.6,233.8,266.5
"10","    Financial",2.7,3.3,3.3,3.7,4.4,4.8,5.1,5.3,5.7,6.0,6.5,7.6,8.4,8.3,8.6,8.3,8.8,9.3,10.7,11.2,12.9,13.6,15.5,17.9,19.5,21.1,20.8,20.4,25.6,32.6,40.8,41.8,35.2,30.3,27.2,36.2,34.7,46.5,56.4,60.3
