year,Private_nonresidential_fixed_assets,Equipment,Structures,Intellectual_property_products,By_selected_industry_group_Farms,By_selected_industry_group_Equipment,By_selected_industry_group_Structures,By_selected_industry_group_Intellectual_property_products,By_selected_industry_group_Manufacturing,By_selected_industry_group_Nonfarm_nonmanufacturing,By_legal_form_of_organization_Corporate,By_legal_form_of_organization_Equipment,By_legal_form_of_organization_Structures,By_legal_form_of_organization_Intellectual_property_products,By_corporate_industry_group_Farms,By_corporate_industry_group_Equipment,By_corporate_industry_group_Structures,By_corporate_industry_group_Intellectual_property_products,By_corporate_industry_group_Manufacturing,By_corporate_industry_group_Nonfarm_nonmanufacturing,By_corporate_financial_and_nonfinancial_Financial,By_corporate_financial_and_nonfinancial_Equipment,By_corporate_financial_and_nonfinancial_Structures,By_corporate_financial_and_nonfinancial_Intellectual_property_products,By_corporate_financial_and_nonfinancial_Nonfinancial,By_corporate_financial_and_nonfinancial_Noncorporate,By_noncorporate_industry_group_Farms,By_noncorporate_industry_group_Equipment,By_noncorporate_industry_group_Structures,By_noncorporate_industry_group_Intellectual_property_products,By_noncorporate_industry_group_Manufacturing,By_noncorporate_industry_group_Nonfarm_nonmanufacturing,By_noncorporate_legal_form_of_organization_Sole_proprietorships,By_noncorporate_legal_form_of_organization_Equipment,By_noncorporate_legal_form_of_organization_Structures,By_noncorporate_legal_form_of_organization_Intellectual_property_products,By_noncorporate_legal_form_of_organization_Partnerships,By_noncorporate_legal_form_of_organization_Nonprofit_institutions,By_noncorporate_legal_form_of_organization_Households,By_noncorporate_legal_form_of_organization_Tax_exempt_cooperatives
1925,126.5,31.1,93.5,1.9,10.1,20.7,76.8,1.5,17.4,99.0,98.6,23.7,73.6,1.2,0.2,16.5,64.7,0.9,16.4,82.0,3.1,7.3,19.9,0.7,95.5,27.9,9.9,4.3,12.1,0.7,1.0,17.0,14.5,0.0,0.0,0.0,7.8,5.5,0.1,0.0
1926,131.0,32.8,96.2,2.0,10.2,22.2,79.3,1.6,17.8,103.0,101.5,24.8,75.4,1.3,0.2,17.4,66.2,0.9,16.8,84.5,3.2,8.1,20.8,0.7,98.2,29.5,10.0,4.8,13.1,0.7,1.0,18.5,15.2,0.0,0.0,0.0,8.3,5.9,0.1,0.0
1927,133.7,33.5,98.1,2.1,10.3,22.6,81.0,1.7,18.1,105.3,102.9,25.0,76.6,1.4,0.2,17.5,67.2,1.0,17.1,85.7,3.3,8.5,21.5,0.7,99.6,30.8,10.1,5.1,13.8,0.7,1.0,19.6,15.7,0.0,0.0,0.0,8.6,6.3,0.1,0.0
1928,137.3,34.2,100.9,2.3,10.4,23.0,83.3,1.8,18.9,108.1,105.2,25.2,78.5,1.5,0.2,17.6,68.6,1.0,17.8,87.2,3.4,9.0,22.4,0.8,101.8,32.2,10.2,5.4,14.7,0.8,1.1,20.9,16.3,0.0,0.0,0.0,9.0,6.8,0.2,0.0
1929,136.6,34.3,99.9,2.5,10.2,23.1,82.7,1.9,18.7,107.7,104.2,25.0,77.6,1.6,0.2,17.4,67.8,1.1,17.7,86.4,3.5,9.3,22.3,0.8,100.7,32.4,10.0,5.6,14.9,0.8,1.0,21.4,16.3,0.0,0.0,0.0,9.1,6.9,0.2,0.0
1930,129.8,32.7,94.7,2.5,9.3,21.8,79.4,2.0,17.3,103.2,99.3,23.6,74.0,1.7,0.2,16.4,65.2,1.2,16.3,82.7,3.5,9.0,20.7,0.9,95.8,30.6,9.1,5.4,14.3,0.8,1.0,20.5,15.2,0.0,0.0,0.0,8.6,6.6,0.2,0.0
1931,115.9,29.7,83.7,2.5,8.1,19.8,70.7,2.0,15.3,92.5,89.4,21.5,66.2,1.6,0.2,15.0,58.6,1.1,14.5,74.7,3.0,8.2,17.5,0.8,86.4,26.6,7.9,4.8,12.2,0.8,0.8,17.8,13.3,0.0,0.0,0.0,7.5,5.7,0.1,0.0
1932,107.4,26.7,78.3,2.4,7.1,17.6,66.7,1.9,14.0,86.2,83.5,19.3,62.6,1.6,0.1,13.4,55.6,1.1,13.3,70.1,2.7,7.4,15.7,0.8,80.8,23.9,7.0,4.2,11.1,0.8,0.8,16.1,11.8,0.0,0.0,0.0,6.7,5.2,0.1,0.0
1933,109.0,26.4,80.2,2.4,7.5,17.0,67.0,1.8,15.6,85.9,84.2,19.4,63.2,1.6,0.2,13.0,55.2,1.1,14.8,69.3,2.9,7.0,17.0,0.8,81.3,24.8,7.4,4.0,11.8,0.8,0.8,16.6,12.1,0.0,0.0,0.0,7.0,5.5,0.1,0.0
1934,110.3,26.5,81.3,2.6,7.5,17.1,67.4,2.0,16.3,86.5,85.4,19.9,63.8,1.8,0.2,13.2,55.5,1.2,15.4,69.8,2.9,6.6,17.5,0.8,82.5,24.9,7.4,3.9,12.0,0.8,0.9,16.7,12.1,0.0,0.0,0.0,7.1,5.6,0.1,0.0
1935,110.0,25.9,81.3,2.8,7.5,16.5,67.4,2.1,16.5,86.0,84.9,19.4,63.6,1.9,0.2,12.7,55.2,1.3,15.6,69.2,2.9,6.5,17.7,0.9,82.0,25.1,7.3,3.8,12.2,0.9,0.9,16.9,12.0,0.0,0.0,0.0,7.1,5.7,0.1,0.1
1936,121.0,27.8,90.1,3.1,7.8,17.4,75.0,2.3,18.5,94.8,93.4,20.8,70.5,2.2,0.2,13.3,61.0,1.4,17.5,75.7,3.1,7.1,19.6,1.0,90.3,27.6,7.6,4.1,14.0,0.9,1.0,19.0,12.9,0.1,0.0,0.0,7.7,6.7,0.2,0.1
1937,126.2,29.9,92.8,3.4,8.1,18.4,77.2,2.6,19.9,98.2,96.8,22.2,72.2,2.4,0.2,13.9,62.3,1.6,18.8,77.8,3.4,7.7,20.6,1.1,93.4,29.4,8.0,4.4,14.9,1.0,1.0,20.4,13.7,0.1,0.1,0.0,8.2,7.0,0.2,0.2
1938,124.9,29.9,91.3,3.7,7.9,18.2,76.5,2.8,19.4,97.5,95.6,22.1,71.0,2.5,0.2,13.8,61.6,1.7,18.4,77.1,3.3,7.8,20.3,1.2,92.3,29.2,7.8,4.4,14.9,1.1,1.0,20.4,13.5,0.1,0.1,0.0,8.2,7.1,0.2,0.3
1939,125.2,30.5,90.7,4.0,7.4,18.3,76.4,3.0,20.1,97.7,96.3,22.5,71.0,2.7,0.2,13.7,61.6,1.8,19.0,77.1,3.2,8.0,19.7,1.2,93.1,28.9,7.3,4.5,14.9,1.2,1.0,20.6,13.2,0.2,0.2,0.0,8.1,7.1,0.2,0.3
1940,133.3,32.8,96.1,4.3,7.7,19.4,80.7,3.2,22.2,103.3,102.3,24.2,75.1,3.0,0.2,14.5,64.7,1.9,21.0,81.1,3.7,8.6,21.1,1.3,98.7,30.9,7.5,4.9,16.0,1.3,1.2,22.2,14.0,0.2,0.2,0.0,8.7,7.6,0.2,0.4
1941,150.6,37.6,107.8,5.1,9.2,22.3,89.1,3.6,26.3,115.0,114.9,27.6,83.7,3.7,0.2,16.5,71.1,2.2,24.9,89.8,4.4,10.0,24.1,1.5,110.5,35.6,9.1,5.8,18.0,1.4,1.4,25.2,16.3,0.3,0.3,0.0,10.0,8.6,0.2,0.6
1942,160.2,38.5,115.6,6.0,10.5,22.6,94.4,4.0,28.7,121.0,122.2,28.5,89.2,4.4,0.2,17.0,75.4,2.4,27.2,94.8,4.2,10.0,26.3,1.6,118.0,38.0,10.3,5.6,19.1,1.6,1.5,26.2,17.3,0.3,0.3,0.0,10.6,9.2,0.2,0.6
1943,163.0,38.9,117.2,6.8,11.5,22.6,95.6,4.6,28.7,122.8,123.1,28.9,89.1,5.0,0.2,17.0,75.7,2.8,27.2,95.6,4.4,10.0,28.1,1.8,118.7,39.9,11.2,5.6,19.8,1.8,1.5,27.2,18.3,0.3,0.4,0.0,11.1,9.6,0.2,0.6
1944,164.9,38.8,118.6,7.5,12.0,21.8,96.8,5.2,29.1,123.8,124.4,28.9,90.1,5.5,0.2,16.4,76.9,3.3,27.6,96.6,4.4,9.9,28.5,2.0,120.1,40.5,11.7,5.3,19.9,1.9,1.5,27.2,18.7,0.3,0.4,0.0,11.3,9.6,0.2,0.7
1945,179.8,44.2,127.6,8.1,13.2,24.9,102.7,5.8,33.3,133.4,135.8,33.1,96.9,5.9,0.3,18.8,81.6,3.6,31.5,104.0,4.4,11.2,30.7,2.2,131.4,44.0,12.9,6.1,21.1,2.1,1.7,29.4,20.3,0.3,0.4,0.0,12.3,10.4,0.2,0.8
1946,220.5,53.3,158.1,9.1,16.1,30.8,126.4,6.4,40.8,163.6,164.2,40.0,117.5,6.7,0.3,23.2,97.9,4.1,38.7,125.1,5.6,13.3,40.6,2.5,158.6,56.4,15.8,7.6,28.5,2.4,2.1,38.5,25.5,0.5,0.6,0.0,15.4,14.1,0.3,1.0
1947,265.2,65.5,189.1,10.6,19.9,37.6,150.5,7.3,49.8,195.5,195.8,48.2,139.9,7.8,0.4,27.5,116.1,4.6,47.2,148.2,6.7,17.4,49.2,2.8,189.2,69.4,19.5,10.1,34.4,2.7,2.6,47.3,31.6,0.6,0.8,0.0,18.8,17.2,0.4,1.4
1948,291.0,80.3,199.4,11.3,22.6,45.9,159.5,7.7,55.4,213.1,214.5,58.2,147.9,8.4,0.5,33.4,123.4,4.9,52.5,161.6,7.2,22.1,51.5,3.0,207.3,76.5,22.1,12.5,36.1,2.9,2.9,51.5,35.5,0.8,1.0,0.0,20.8,18.0,0.4,1.8
1949,296.2,84.6,199.9,11.7,23.6,48.5,161.3,8.0,54.8,217.8,218.6,60.5,149.6,8.6,0.5,35.1,126.0,5.0,51.9,166.1,6.6,24.2,50.4,3.1,211.9,77.6,23.1,13.4,35.3,3.0,2.9,51.7,36.3,0.8,1.1,0.0,21.0,18.0,0.4,2.0
1950,335.4,98.8,223.7,12.8,27.4,56.4,180.3,8.6,62.7,245.3,245.2,69.8,165.9,9.5,0.6,40.2,139.6,5.4,59.5,185.2,7.4,29.0,57.8,3.4,237.8,90.1,26.8,16.2,40.6,3.2,3.2,60.1,42.1,1.0,1.4,0.0,24.1,21.1,0.5,2.4
1951,365.7,109.1,243.0,13.6,29.9,62.6,195.3,8.9,69.1,266.8,266.4,76.9,179.3,10.1,0.6,44.5,150.1,5.6,65.6,200.2,8.6,32.1,63.7,3.5,257.8,99.3,29.3,18.1,45.1,3.3,3.5,66.6,46.1,1.1,1.6,0.0,26.5,23.6,0.5,2.7
