year,Private_nonresidential_fixed_assets,Equipment,Structures,Intellectual_property_products,By_selected_industry_group_Farms,By_selected_industry_group_Equipment,By_selected_industry_group_Structures,By_selected_industry_group_Intellectual_property_products,By_selected_industry_group_Manufacturing,By_selected_industry_group_Nonfarm_nonmanufacturing,By_legal_form_of_organization_Corporate,By_legal_form_of_organization_Equipment,By_legal_form_of_organization_Structures,By_legal_form_of_organization_Intellectual_property_products,By_corporate_industry_group_Farms,By_corporate_industry_group_Equipment,By_corporate_industry_group_Structures,By_corporate_industry_group_Intellectual_property_products,By_corporate_industry_group_Manufacturing,By_corporate_industry_group_Nonfarm_nonmanufacturing,By_corporate_financial_and_nonfinancial_Financial,By_corporate_financial_and_nonfinancial_Equipment,By_corporate_financial_and_nonfinancial_Structures,By_corporate_financial_and_nonfinancial_Intellectual_property_products,By_corporate_financial_and_nonfinancial_Nonfinancial,By_corporate_financial_and_nonfinancial_Noncorporate,By_noncorporate_industry_group_Farms,By_noncorporate_industry_group_Equipment,By_noncorporate_industry_group_Structures,By_noncorporate_industry_group_Intellectual_property_products,By_noncorporate_industry_group_Manufacturing,By_noncorporate_industry_group_Nonfarm_nonmanufacturing,By_noncorporate_legal_form_of_organization_Sole_proprietorships,By_noncorporate_legal_form_of_organization_Equipment,By_noncorporate_legal_form_of_organization_Structures,By_noncorporate_legal_form_of_organization_Intellectual_property_products,By_noncorporate_legal_form_of_organization_Partnerships,By_noncorporate_legal_form_of_organization_Nonprofit_institutions,By_noncorporate_legal_form_of_organization_Households,By_noncorporate_legal_form_of_organization_Tax_exempt_cooperatives
1925,90.3,31.3,57.1,1.8,6.8,21.5,47.0,1.5,13.5,70.0,69.6,23.2,45.2,1.2,0.1,16.7,39.2,0.8,12.7,56.7,2.2,8.1,11.9,0.6,67.4,20.7,6.6,4.9,7.8,0.6,0.7,13.3,11.0,0.0,0.0,0.0,6.1,3.5,0.1,0.0
1926,95.0,32.2,60.9,1.9,6.9,22.2,50.3,1.5,14.0,74.1,72.6,23.6,47.7,1.3,0.1,17.0,41.4,0.9,13.2,59.3,2.3,8.5,13.1,0.7,70.3,22.4,6.8,5.2,8.9,0.7,0.8,14.8,11.7,0.0,0.0,0.0,6.5,4.0,0.1,0.0
1927,99.2,32.6,64.5,2.1,7.1,22.5,53.5,1.6,14.5,77.6,75.3,23.7,50.2,1.3,0.1,17.1,43.4,0.9,13.7,61.4,2.4,8.9,14.3,0.7,72.8,24.0,7.0,5.5,10.1,0.7,0.8,16.2,12.4,0.0,0.0,0.0,6.9,4.6,0.1,0.0
1928,103.5,33.3,68.0,2.2,7.3,22.9,56.3,1.8,15.2,81.0,78.0,24.0,52.5,1.5,0.1,17.2,45.3,1.0,14.4,63.4,2.6,9.3,15.4,0.8,75.4,25.5,7.1,5.7,11.1,0.7,0.8,17.5,13.0,0.0,0.0,0.0,7.3,5.0,0.1,0.0
1929,108.3,34.3,71.6,2.5,7.4,23.4,59.3,1.9,16.3,84.6,81.4,24.5,55.2,1.6,0.2,17.4,47.3,1.1,15.4,65.9,2.7,9.7,16.4,0.8,78.7,27.0,7.3,6.0,12.0,0.8,0.9,18.8,13.6,0.0,0.0,0.0,7.8,5.5,0.1,0.0
1930,111.0,34.1,74.3,2.6,7.5,23.1,61.7,2.1,16.7,86.9,83.4,24.5,57.2,1.8,0.2,17.2,49.0,1.2,15.8,67.4,2.9,9.7,17.1,0.9,80.5,27.7,7.3,5.9,12.7,0.9,0.9,19.5,13.7,0.0,0.0,0.0,7.9,5.9,0.1,0.0
1931,110.5,32.7,75.0,2.8,7.2,22.1,62.6,2.1,16.5,86.8,83.0,23.5,57.7,1.8,0.1,16.4,49.6,1.2,15.6,67.3,2.9,9.2,17.3,0.9,80.2,27.4,7.1,5.6,13.0,0.9,0.9,19.5,13.4,0.0,0.0,0.0,7.8,6.1,0.1,0.0
1932,107.8,30.5,74.5,2.8,6.8,20.5,62.4,2.1,15.9,85.1,81.2,22.1,57.3,1.9,0.1,15.4,49.4,1.3,15.1,66.0,2.8,8.4,17.2,0.9,78.4,26.6,6.7,5.2,13.0,0.9,0.8,19.0,12.8,0.0,0.0,0.0,7.5,6.2,0.1,0.0
1933,105.0,28.5,73.7,2.8,6.5,19.0,61.8,2.2,15.6,83.0,79.4,20.8,56.7,1.9,0.1,14.3,48.9,1.3,14.8,64.5,2.7,7.7,17.0,0.9,76.7,25.6,6.4,4.7,12.9,0.9,0.8,18.4,12.1,0.0,0.0,0.0,7.3,6.1,0.1,0.0
1934,103.3,27.4,73.1,2.9,6.3,18.1,61.3,2.2,15.5,81.6,78.3,20.1,56.2,2.0,0.1,13.7,48.5,1.3,14.7,63.5,2.7,7.2,16.8,0.9,75.6,25.0,6.2,4.4,12.7,0.9,0.8,18.0,11.7,0.0,0.0,0.0,7.1,6.1,0.1,0.0
1935,102.6,26.9,72.6,3.1,6.3,17.5,61.0,2.3,15.6,80.8,77.8,19.8,55.9,2.1,0.1,13.2,48.3,1.4,14.7,62.9,2.7,7.1,16.7,1.0,75.1,24.9,6.1,4.3,12.7,0.9,0.8,17.9,11.6,0.0,0.0,0.0,7.0,6.0,0.1,0.1
1936,103.3,27.4,72.7,3.3,6.4,17.5,61.1,2.5,15.9,81.0,78.2,20.0,55.9,2.2,0.1,13.1,48.4,1.5,15.1,63.0,2.7,7.4,16.7,1.0,75.5,25.1,6.3,4.4,12.7,1.0,0.8,18.1,11.7,0.1,0.0,0.0,7.1,6.1,0.1,0.1
1937,105.7,28.7,73.5,3.5,6.6,17.9,61.7,2.7,16.8,82.3,79.8,20.9,56.6,2.4,0.1,13.4,48.8,1.6,15.9,63.8,2.7,7.8,16.9,1.1,77.1,25.8,6.5,4.5,12.9,1.1,0.9,18.5,12.0,0.1,0.1,0.0,7.3,6.1,0.1,0.2
1938,106.2,28.7,73.7,3.8,6.7,17.6,62.0,2.9,17.0,82.5,80.1,20.8,56.7,2.6,0.1,13.1,49.0,1.7,16.1,63.9,2.7,7.9,17.0,1.2,77.4,26.1,6.6,4.5,13.0,1.2,0.9,18.6,12.1,0.1,0.1,0.0,7.4,6.2,0.1,0.3
1939,107.1,29.1,74.0,4.0,6.8,17.6,62.4,3.1,17.3,83.0,80.7,21.0,56.9,2.8,0.1,13.0,49.2,1.8,16.4,64.1,2.7,8.0,17.1,1.3,78.0,26.4,6.6,4.6,13.1,1.2,0.9,18.9,12.2,0.2,0.2,0.0,7.5,6.3,0.1,0.3
1940,109.4,30.4,74.6,4.3,6.8,18.3,62.8,3.2,18.2,84.3,82.3,22.0,57.4,3.0,0.1,13.4,49.6,1.9,17.2,64.9,2.7,8.5,17.3,1.3,79.6,27.0,6.7,4.9,13.3,1.3,0.9,19.4,12.4,0.2,0.2,0.0,7.7,6.4,0.1,0.4
